record_id,question_id,llm_decision,llm_reason_codes,llm_confidence,llm_model,llm_reasoning_effort,decision_authority,status
REC-PUBMED-10396307,A1,retain,exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10397070,B1,deprioritize,animal_term_present|exposure|outcome,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10399665,A1,retain,exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10401708,B2,deprioritize,population|off_topic|human_signal,medium,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10405169,B3,deprioritize,exposure|outcome|animal_term_present|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10405913,B2,deprioritize,off_topic|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10406906,A1,retain,population|exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10410814,A1,retain,exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10411354,B2,deprioritize,off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10412498,B3,retain,population|exposure|outcome|human_signal|design_signal,medium,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10412859,B2,deprioritize,animal_term_present|off_topic|exposure,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10412865,B1,deprioritize,population|exposure|outcome|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10412964,B1,retain,population|exposure|outcome|design_signal|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10416587,B2,deprioritize,population|animal_term_present|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10417956,B1,retain,exposure|outcome|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10417956,B2,retain,population|exposure|outcome|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10420035,B1,deprioritize,exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10421883,B1,deprioritize,off_topic|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10422821,B2,deprioritize,animal_term_present|exposure|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10424393,B1,deprioritize,off_topic|human_signal|outcome,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10432386,B2,deprioritize,population|exposure|outcome|design_signal|animal_term_present,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10435676,B2,deprioritize,exposure|human_signal|outcome,medium,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10436267,B2,retain,population|exposure|outcome|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10436404,B2,deprioritize,off_topic|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10436406,B1,deprioritize,human_signal|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10452286,B2,deprioritize,population|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10453858,A2,deprioritize,exposure|human_signal|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10454773,B2,deprioritize,population|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10460895,B2,deprioritize,animal_term_present|population|exposure,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10461238,A2,deprioritize,human_signal|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10463602,B2,deprioritize,animal_term_present|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10468751,B1,deprioritize,off_topic|outcome|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10469275,B2,deprioritize,animal_term_present|exposure,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10470180,A1,retain,population|exposure|outcome|design_signal|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10472397,A1,retain,population|exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10479672,A1,deprioritize,exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10485984,B2,deprioritize,animal_term_present|exposure|off_topic,medium,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10485987,B1,deprioritize,exposure|human_signal|insufficient_abstract,medium,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10485987,B2,deprioritize,outcome|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10488118,B2,deprioritize,off_topic|animal_term_present|design_signal|exposure,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10490077,B2,deprioritize,animal_term_present|exposure|outcome|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10491744,B2,deprioritize,animal_term_present|population|design_signal|exposure|outcome,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10493456,B2,deprioritize,population|exposure|outcome|human_signal|design_signal|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10499903,A1,retain,exposure|human_signal|outcome,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10499906,A1,retain,exposure|outcome|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-105006,A1,deprioritize,exposure|animal_term_present|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10502124,B2,uncertain,human_signal|insufficient_abstract,medium,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10503952,A2,deprioritize,off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10511317,B1,retain,population|exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10515239,B2,retain,exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10517130,A1,retain,exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10518409,A1,deprioritize,animal_term_present|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10520763,A1,retain,exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10522314,A1,retain,exposure|outcome|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10525058,B2,deprioritize,off_topic|design_signal|animal_term_present|exposure,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10535755,A1,deprioritize,exposure|design_signal|human_signal|animal_term_present,medium,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10541222,B2,deprioritize,off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10544910,A1,retain,exposure|design_signal|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10547250,B2,uncertain,population|human_signal|outcome|insufficient_abstract,medium,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10556183,A1,retain,population|exposure|outcome|design_signal|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10556651,A1,retain,exposure|outcome|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10566627,B2,deprioritize,human_signal|outcome|design_signal|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10567671,B2,deprioritize,exposure|animal_term_present|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10568341,A1,retain,population|exposure|outcome|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10569955,A1,retain,exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10574586,A1,deprioritize,animal_term_present|design_signal|exposure,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10575549,A1,deprioritize,animal_term_present|exposure|outcome|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10579728,A1,deprioritize,animal_term_present|exposure|outcome|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10581994,A1,retain,human_signal|design_signal,medium,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10581995,A1,retain,exposure|outcome|population|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10582823,A1,retain,exposure|outcome|human_signal|population|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10589688,A1,deprioritize,animal_term_present|exposure|outcome|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10594160,B2,deprioritize,off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10594779,B2,deprioritize,population|animal_term_present|outcome|exposure,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10595641,A2,deprioritize,animal_term_present|population|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10597763,A1,retain,population|exposure|outcome|design_signal|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10598186,B2,deprioritize,off_topic|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10600090,A1,retain,exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10601566,B2,deprioritize,off_topic|animal_term_present,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10602164,A1,retain,exposure|human_signal|outcome|population,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10605310,B2,deprioritize,off_topic|insufficient_abstract,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10612061,B3,deprioritize,design_signal|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10613617,B2,deprioritize,population|outcome,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10613667,A1,deprioritize,exposure|outcome|design_signal|animal_term_present,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10616168,B2,deprioritize,exposure|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10620210,B2,deprioritize,exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10626826,B2,uncertain,outcome|exposure|human_signal|insufficient_abstract,medium,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10626831,B2,deprioritize,off_topic|population,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10629413,A1,retain,exposure|outcome|human_signal|population|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10629596,A1,retain,exposure|outcome|human_signal|design_signal,medium,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10630691,A2,retain,population|exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10630770,B2,deprioritize,animal_term_present|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10633464,B2,deprioritize,exposure|population|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10633466,B2,deprioritize,population|outcome|exposure,medium,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10636575,B3,deprioritize,off_topic|human_signal|outcome,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10637387,A2,deprioritize,population|exposure|outcome|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10638183,B2,deprioritize,exposure|population|outcome|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10644903,B2,deprioritize,exposure|population|human_signal|off_topic,medium,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10646127,B2,deprioritize,exposure|animal_term_present|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10650849,A2,deprioritize,off_topic|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10658246,B2,retain,population|exposure|outcome,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10658250,B1,retain,population|exposure|outcome|design_signal|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10660809,B2,deprioritize,off_topic|exposure|outcome,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10662728,B2,deprioritize,population|exposure|outcome|animal_term_present|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10663003,B2,deprioritize,exposure|human_signal|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10666826,A1,retain,population|exposure|outcome|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10669626,A1,deprioritize,animal_term_present|exposure|outcome|population,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10672943,B2,deprioritize,population|outcome|human_signal|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10676894,B2,deprioritize,animal_term_present|population|outcome,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10681662,B2,deprioritize,exposure|animal_term_present|off_topic,medium,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10688334,A1,deprioritize,animal_term_present|exposure|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10690943,B2,deprioritize,off_topic|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10692271,B2,deprioritize,exposure|human_signal|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10695503,A1,retain,exposure|human_signal|design_signal|outcome,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10697390,A1,retain,exposure|outcome|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10697495,B2,deprioritize,animal_term_present|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10701059,B2,deprioritize,population|exposure|design_signal|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10705190,B1,retain,population|exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10706868,A1,deprioritize,exposure|outcome|design_signal|animal_term_present,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10707047,B2,retain,exposure|outcome|human_signal,medium,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10718864,A1,deprioritize,animal_term_present|exposure|outcome,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10727451,B2,deprioritize,animal_term_present|exposure|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10727845,B3,deprioritize,population|exposure|outcome|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10728026,A1,retain,population|exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10731019,B3,deprioritize,exposure|outcome|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10737225,A1,deprioritize,exposure|outcome|design_signal|animal_term_present,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10741238,A1,retain,exposure|outcome|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10741714,B2,deprioritize,design_signal|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10746168,A1,deprioritize,animal_term_present|exposure|design_signal|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10751889,B1,retain,population|exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10754674,B2,deprioritize,animal_term_present|exposure|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10756693,B1,retain,exposure|outcome|human_signal|design_signal|population,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10757268,B1,deprioritize,outcome|off_topic|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10759651,B1,retain,population|exposure|outcome|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10759651,B3,retain,population|exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10763903,B2,deprioritize,exposure|outcome|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10765157,B1,retain,population|exposure|outcome|design_signal|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10766428,B2,deprioritize,animal_term_present|outcome|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10766681,A1,deprioritize,off_topic|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10767122,A2,retain,population|exposure|outcome|design_signal|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10767135,A1,retain,population|exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10771560,B2,deprioritize,off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10773499,A1,deprioritize,exposure|outcome|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10778468,B2,retain,exposure|outcome,medium,gpt-5-mini,low,ai_exploratory_only,ok
