legacy_rule_id,ingredient_id,rule_name_ko,legacy_review_status,quarantine_status,protocol_question_candidate,candidate_scope,currently_exposed_by_study_filter,thesis_mode_eligible,source_ref_count,evidence_ref_count,missing_source_ref_count,missing_evidence_ref_count,missing_locator_count,non_full_text_support_count,evidence_verification_statuses,issue_codes
RULE-IRON-LEVODOPA-INTERACTION,iron,철 + levodopa 상호작용,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-IRON-PPI-ABSORPTION,iron,철 + PPI 흡수저하,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-IRON-CALCIUM-SPLIT,iron,철 + 칼슘 분리복용,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-FOLATE-UL-US-ADULT,folic_acid,엽산 UL(미국),starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-FOLATE-UL-EU-ADULT,folic_acid,엽산 UL(EU),starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,0,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NO_VALIDATED_CLAIM_LINK
RULE-FOLATE-B12-MASKING,folic_acid,고용량 엽산과 B12 결핍 masking 위험,starter_validated,legacy_unverified,none,future_scope,false,false,4,4,0,0,0,4,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-VITK-WARFARIN-CONSISTENCY,vitamin_k,비타민 K + warfarin 일관성 유지,starter_validated,legacy_unverified,A1_candidate,validated_thesis_scope_candidate_only,true,false,1,1,0,0,0,1,verified_against_source,CANDIDATE_REQUIRES_FULL_REVALIDATION;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-VITK-ORLISTAT-MONITOR,vitamin_k,비타민 K + orlistat,starter_validated,legacy_unverified,A1_candidate,validated_thesis_scope_candidate_only,true,false,1,1,0,0,0,1,verified_against_source,CANDIDATE_REQUIRES_FULL_REVALIDATION;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-OMEGA3-SAFE-UPTO5,omega3_epa_dha,오메가3 실무상 상한 참고치,starter_validated,legacy_unverified,none,exploratory_demo,true,false,1,1,0,0,0,1,verified_against_source,CURRENT_UI_OUT_OF_PROTOCOL_SCOPE;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-OMEGA3-WARFARIN-MONITOR,omega3_epa_dha,오메가3 + warfarin/항응고제,starter_validated,legacy_unverified,A2_candidate,validated_thesis_scope_candidate_only,true,false,2,3,0,0,0,3,verified_against_source,CANDIDATE_REQUIRES_FULL_REVALIDATION;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-OMEGA3-AF-HIGHRISK,omega3_epa_dha,고위험 심혈관 환자의 오메가3 4 g/day AF 주의,starter_validated,legacy_unverified,none,exploratory_demo,true,false,5,5,0,0,0,5,verified_against_source,CURRENT_UI_OUT_OF_PROTOCOL_SCOPE;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-ZINC-UL-US-ADULT,zinc,아연 성인 UL(미국),starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-ZINC-ABX-SPLIT,zinc,아연 + 항생제 분리복용,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-ZINC-LONGTERM-COPPER,zinc,장기 고용량 아연의 구리결핍 모니터링,starter_validated,legacy_unverified,none,future_scope,false,false,6,8,0,0,0,8,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-SELENIUM-UL-US-ADULT,selenium,셀레늄 성인 UL(미국),starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-SELENIUM-UL-EU-ADULT,selenium,셀레늄 성인 UL(EU),starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,0,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NO_VALIDATED_CLAIM_LINK
RULE-SELENIUM-SELENOSIS-SYMPTOMS,selenium,셀레늄 과다 섭취 증상 플래그,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-IODINE-UL-US-ADULT,iodine,요오드 성인 UL(미국),starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-IODINE-AUTOIMMUNE-THYROID,iodine,자가면역 갑상선질환/요오드 결핍에서 요오드 주의,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-IODINE-ANTITHYROID,iodine,요오드 + 항갑상선제,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-IODINE-POTASSIUM-IODIDE-HYPERKALEMIA,iodine,potassium iodide + ACE inhibitor/칼륨보존성 이뇨제,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-NIACIN-UL-US-ADULT,niacin,니아신 UL(미국),starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-NIACIN-HIGHDOSE-MONITOR,niacin,고용량 니아신 이상반응 모니터링,starter_validated,legacy_unverified,none,future_scope,false,false,2,2,0,0,0,2,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-NIACIN-DIABETES-MEDS,niacin,니아신 + 항당뇨약,starter_validated,legacy_unverified,none,future_scope,false,false,1,2,0,0,0,2,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-B6-UL-US-ADULT,vitamin_b6,비타민 B6 UL(미국),starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-B6-UL-EU-ADULT,vitamin_b6,비타민 B6 UL(EU),starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-B6-NEUROPATHY,vitamin_b6,고용량 비타민 B6 감각신경병증 주의,starter_validated,legacy_unverified,none,future_scope,false,false,3,5,0,0,0,5,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-SJW-MAJOR-DRUG-INTERACTIONS,st_johns_wort,세인트존스워트 주요 약물상호작용,starter_validated,legacy_unverified,none,future_scope,false,false,2,2,0,0,0,2,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-SJW-SEROTONIN-RISK,st_johns_wort,세인트존스워트 + serotonergic drug,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-SJW-PREGNANCY,st_johns_wort,세인트존스워트 임신/수유 회피,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-RYR-STATIN-LIKE-INTERACTIONS,red_yeast_rice,홍국의 statin-like 위험,starter_validated,legacy_unverified,none,future_scope,false,false,1,2,0,0,0,2,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-RYR-PREGNANCY,red_yeast_rice,홍국 임신/수유 회피,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-RYR-QUALITY-UNCERTAIN,red_yeast_rice,홍국 제품 품질/함량 불확실성,starter_validated,legacy_unverified,none,future_scope,false,false,1,2,0,0,0,2,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-GTE-LIVER-CAUTION,green_tea_extract,녹차추출물 간손상 주의,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-GTE-DRUG-INTERACTIONS,green_tea_extract,녹차추출물 + 약물상호작용,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-GTE-PREGNANCY-CAFFEINE,green_tea_extract,녹차추출물 임신 카페인 주의,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-MELATONIN-PREG-LACTATION,melatonin,멜라토닌 임신/수유 주의,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-MELATONIN-OLDER-ADULT,melatonin,고령자 멜라토닌 낮 졸림 주의,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-MELATONIN-QUALITY-VARIABILITY,melatonin,멜라토닌 제품 함량 편차/serotonin 혼입,starter_validated,legacy_unverified,none,future_scope,false,false,2,2,0,0,0,2,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-PROBIOTICS-PRETERM-INFANTS,probiotics,미숙아/입원 중 preterm infant의 프로바이오틱스 회피,starter_validated,legacy_unverified,none,future_scope,false,false,2,3,0,0,0,3,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-PROBIOTICS-IMMUNOCOMPROMISED-REVIEW,probiotics,면역저하/중심정맥관 등 고위험군 프로바이오틱스 수동검토,starter_validated,legacy_unverified,none,future_scope,false,false,5,5,0,0,0,5,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-ASHWA-LIVER-DISEASE-AVOID,ashwagandha,아슈와간다 + 기저 간질환 회피,starter_validated,legacy_unverified,none,future_scope,false,false,1,2,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-ASHWA-LIVER-SYMPTOMS,ashwagandha,아슈와간다 간손상 증상 모니터링,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-GINSENG-PREG-CHILDREN,asian_ginseng,아시아 인삼 임신/수유/소아 주의,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-GINSENG-DIABETES-MONITOR,asian_ginseng,아시아 인삼 + 당뇨/혈당강하제,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-GLUCOSAMINE-WARFARIN,glucosamine_chondroitin,글루코사민/콘드로이틴 + warfarin,starter_validated,legacy_unverified,none,exploratory_demo,true,false,4,4,0,0,0,4,verified_against_source,CURRENT_UI_OUT_OF_PROTOCOL_SCOPE;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-GLUCOSAMINE-DIABETES-MONITOR,glucosamine_chondroitin,글루코사민 + 당뇨 혈당 모니터링,starter_validated,legacy_unverified,none,exploratory_demo,true,false,1,1,0,0,0,1,verified_against_source,CURRENT_UI_OUT_OF_PROTOCOL_SCOPE;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-GLUCOSAMINE-PREGNANCY,glucosamine_chondroitin,글루코사민/콘드로이틴 임신/수유 주의,starter_validated,legacy_unverified,none,exploratory_demo,true,false,1,1,0,0,0,1,verified_against_source,CURRENT_UI_OUT_OF_PROTOCOL_SCOPE;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-COQ10-WARFARIN,coenzyme_q10,CoQ10 + warfarin,starter_validated,legacy_unverified,none,exploratory_demo,true,false,5,5,0,0,0,5,verified_against_source,CURRENT_UI_OUT_OF_PROTOCOL_SCOPE;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-COQ10-INSULIN,coenzyme_q10,CoQ10 + insulin,starter_validated,legacy_unverified,none,exploratory_demo,true,false,1,1,0,0,0,1,verified_against_source,CURRENT_UI_OUT_OF_PROTOCOL_SCOPE;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-VITC-UL-US-ADULT,vitamin_c,비타민 C 성인 UL(미국),starter_validated,legacy_unverified,none,exploratory_demo,true,false,1,1,0,0,0,1,verified_against_source,CURRENT_UI_OUT_OF_PROTOCOL_SCOPE;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-VITC-STONE-HISTORY,vitamin_c,비타민 C와 신장결석/신장질환 고위험군,starter_validated,legacy_unverified,B3_candidate,validated_thesis_scope_candidate_only,true,false,5,5,0,0,0,5,verified_against_source,CANDIDATE_REQUIRES_FULL_REVALIDATION;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-VITC-HEMOCHROMATOSIS,vitamin_c,비타민 C와 혈색소침착증/철과다,starter_validated,legacy_unverified,none,exploratory_demo,true,false,1,1,0,0,0,1,verified_against_source,CURRENT_UI_OUT_OF_PROTOCOL_SCOPE;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-VITC-CHEMO-RADIATION-REVIEW,vitamin_c,비타민 C와 항암/방사선 치료 동시사용 검토,starter_validated,legacy_unverified,none,exploratory_demo,true,false,1,1,0,0,0,1,verified_against_source,CURRENT_UI_OUT_OF_PROTOCOL_SCOPE;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-OMEGA3-PURIFIEDEPA-BLEEDING,omega3_epa_dha,고용량 purified EPA의 출혈 모니터링,starter_validated,legacy_unverified,A2_candidate,validated_thesis_scope_candidate_only,true,false,1,2,0,0,0,2,verified_against_source,CANDIDATE_REQUIRES_FULL_REVALIDATION;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-CALCIUM-STONE-HISTORY,calcium,칼슘 보충과 결석 병력/고칼슘뇨,starter_validated,legacy_unverified,B1_candidate,validated_thesis_scope_candidate_only,true,false,4,4,0,0,0,4,verified_against_source,CANDIDATE_REQUIRES_FULL_REVALIDATION;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-VITD-STONE-HISTORY,vitamin_d,비타민 D 보충과 결석 병력/고칼슘뇨,starter_validated,legacy_unverified,B2_candidate,validated_thesis_scope_candidate_only,true,false,4,4,0,0,0,4,verified_against_source,CANDIDATE_REQUIRES_FULL_REVALIDATION;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-LUTEIN-SMOKER-BETACAROTENE-FORMULA,lutein_zeaxanthin,흡연자/과거흡연자의 beta-carotene 포함 안구포뮬라 회피,starter_validated,legacy_unverified,none,future_scope,false,false,4,4,0,0,0,4,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
