sample_id,record_id,question_id,title,abstract,source,evidence_basis,P,I,C,O,S
v3ref-0067,pubmed:41343054,HRS5_ANTICOAGULATION,Implementation of an integrative safety consultation service for the use of dietary and herbal supplements among patients with hematological diseases.,"INTRODUCTION: Dietary and herbal supplements (DHS) are used by 30% of hematological patients despite safety concerns. A service of integrative safety consultations was implemented in the Hematological Institute of Bnai Zion Medical Center. This study examines the effect of such consultation on DHS safety in hematologic patients.
METHODS: Patients from the Hematological Institute were referred to the ""integrative safety consultation team."" The naturopath recommended DHS according to symptoms disclosed, and safety analysis was performed by the clinical pharmacist. Symptom and side effect assessment was repeated in each follow-up visit to evaluate DHS safety.
RESULTS: Between 2021 and 2024, 42 patients were included. Twenty-eight (67%) used DHS before the consultation. Employed patients were more likely to use DHS (p = 0.02). A total of 176 potential interactions were described in 30 patients. Most interactions were theoretical (45%), with a pharmacodynamic additive mechanism (59%), involving herbs (82%) and antihypertensives (26%) or anticoagulants (23%). One side effect was disclosed following Hericium prescription to a patient that developed leg edema and neuropathic pain exacerbation (probable causality according to the Naranjo scale and FDA algorithm). Patients' concerns improved from the first to the second visit. In 21% of the patients who used DHS before the consultation, DHS was documented in the medical chart by the time of first consultation, all of them pertaining to vitamins or minerals.
CONCLUSION: Consideration of DHS in the management of patients with hematological conditions requires a systematic and comprehensive process to ensure patient safety and wellbeing. An integrative safety naturopathic-pharmacologic consultation can address such needs.",pubmed,abstract,"비타민 K 길항제, 직접경구항응고제 또는 헤파린을 사용하는 환자",식이보충제 또는 허브 보충제 병용,보충제 비병용 또는 기준 기간,"주요·경미 출혈, 혈전색전증, 응고검사 변화, 약물 상호작용","무작위시험, 코호트, 환자-대조군, 자기대조 연구, 증례군, 체계적 고찰"
v3ref-0068,pubmed:28188842,HRS3_PREGNANCY,Vitamin D supplementation during pregnancy: Improvements in birth outcomes and complications through direct genomic alteration.,"Pregnancy represents a time of rapid change, including dramatic shifts in vitamin D metabolism. Circulating concentrations of the active form of vitamin D-1,25(OH)2D skyrocket early in pregnancy to levels that would be toxic to a nonpregnant adult, signaling a decoupling of vitamin D from the classic endocrine calcium metabolic pathway, likely serving an immunomodulatory function in the mother and her developing fetus. In this review, we summarize the unique aspects of vitamin D metabolism and the data surrounding vitamin D requirements during this important period. Both observational and clinical trials are reviewed in the context of vitamin D's health effects during pregnancy that include preeclampsia, preterm birth, and later disease states such as asthma and multiple sclerosis. With enhanced knowledge about vitamin D's role as a preprohormone, it is clear that recommendations about supplementation must mirror what is clinically relevant and evidence-based. Future research that focuses on the critical period(s) leading up to conception and during pregnancy to correct deficiency or maintain optimal vitamin D status remains to be studied. In addition, what effects vitamin D has on genetic signatures that minimize the risk to the mother and her developing fetus have not been elucidated. Clearly, while there is much more research that needs to be performed, our understanding of vitamin D requirements during pregnancy has advanced significantly during the last few decades.",pubmed,abstract,임신부와 태아 또는 신생아,임신 중 식이보충제 또는 허브 보충제 노출,"비노출, 위약 또는 통상 산전관리","산모 독성, 임신 합병증, 선천성 이상, 태아·신생아 이상반응","무작위시험, 임신 코호트, 환자-대조군, 등록자료 연구, 증례군, 체계적 고찰"
v3ref-0069,pubmed:22831551,HRS4_LIVER_DISEASE,Herbal hepatotoxicity: a critical review.,"This review deals with herbal hepatotoxicity, identical to herb induced liver injury (HILI), and critically summarizes the pitfalls associated with the evaluation of assumed HILI cases. Analysis of the relevant publications reveals that several dozens of different herbs and herbal products have been implicated to cause toxic liver disease, but major quality issues limit the validity of causality attribution. In most of these reports, discussions around quality specifications regarding herbal products, case data presentations and causality assessment methods prevail. Though the production of herbal drugs is under regulatory surveillance and quality aspects are normally not a matter of concern, low quality of the less regulated herbal supplements may be a critical issue considering product batch variability, impurities, adulterants and herb misidentifications. Regarding case data presentation, essential diagnostic information is often lacking, as is the use of valid and liver specific causality assessment methods that also consider alternative diseases. At present, causality is best assessed by using the Council for International Organizations of Medical Sciences scale ( CIOMS) in its original or updated form, which should primarily be applied prospectively by the treating physician when evaluating a patient rather than retrospectively by regulatory agencies. To cope with these problems, a common quality approach by manufacturers, physicians and regulatory agencies should strive for the best quality. We propose steps for improvements with impact on future cases of liver injury by herbs, herbal drugs and herbal supplements.",pubmed,abstract,기존 간질환이 있는 성인 또는 소아 환자,식이보충제 또는 허브 보충제 노출,비노출 또는 통상 관리,"약인성 간손상, 간기능 악화, 간부전, 입원","코호트, 환자-대조군, 약물감시 연구, 증례군, 체계적 고찰"
v3ref-0070,pubmed:35023227,HRS3_PREGNANCY,Potential benefits versus hazards of herbal therapy during pregnancy; a systematic review of available literature.,"The use of herbal medicine has considerably grown worldwide in the past two decades. Studies have shown that the prevalence of herbal diet therapy in pregnancy ranged from 1% to 60% in different societies. Many clinical reports have shown that some herbal medicines may have toxic effects on pregnant women and their fetuses because active ingredients of some medicinal plants can readily pass through the biological barriers (e.g., placental barrier). In the present study, we aimed to systematically review the literature to discover potential benefits versus the hazards of herbal therapy during pregnancy. For this purpose, a comprehensive literature review was performed, and after the literature search and selection of the appropriate documents, the desired data were extracted and reported. From 35 articles with a total of 39,950 study population, the results showed that some medicinal plants could cause severe toxicity on mothers and fetuses, in addition to abortion during pregnancy. It was also shown that some plants may lead to developmental abnormalities or fetal death. Findings of this survey showed that some herbal medicines have toxic, teratogenic, and abortive potential, particularly in the first trimester of pregnancy because active ingredients of some medicinal plants are able to pass through the placental barrier and reach the fetus.",pubmed,abstract,임신부와 태아 또는 신생아,임신 중 식이보충제 또는 허브 보충제 노출,"비노출, 위약 또는 통상 산전관리","산모 독성, 임신 합병증, 선천성 이상, 태아·신생아 이상반응","무작위시험, 임신 코호트, 환자-대조군, 등록자료 연구, 증례군, 체계적 고찰"
v3ref-0071,pubmed:34985089,HRS4_LIVER_DISEASE,Clinical correlation between serum cytokines and the susceptibility to Polygonum multiflorum-induced liver injury and an experimental study.,"Polygonum multiflorum (PM), a popular functional food, and a herbal and dietary supplement, is widely used as a tonic in China and East Asia. In recent years, it has attracted great concern for its ability to cause idiosyncratic drug-induced liver injury (IDILI). However, identifying individuals susceptible to IDILI remains challenging. This is a prospective study. For 6 patients whose serum alanine aminotransferase (ALT) levels after consuming PM were abnormally elevated (susceptible group), 15 patients with normal levels of liver injury markers were matched (tolerant group) based on similar baseline characteristics. ProcartaPlex immunoassays were adopted to quantitatively detect 33 serum cytokines in the two groups of patients before consuming PM, to characterize the cytokine profile and screen differential cytokines. Subsequently, the susceptibility of a potential biomarker to regulate PM-induced liver injury was validated in animal models. There were significant differences in the cytokine profiles between the susceptible and tolerant groups, wherein the susceptible patients showed immune perturbation characterized by high expression of multiple inflammatory cytokines, especially the proinflammatory cytokine TNF-α (P = 0.006). Among them, the cytokine TNF-α had the strongest correlation with ALT, where the correlation coefficient was greater than 0.6, and the area under the receiver operating characteristic curve was more than 0.8. Animal experiments revealed that both PM water extract and its susceptibility component of liver injury, cis-stilbene glucoside, could cause liver injury in the mice pre-stimulated using TNF-α. Conversely, administration of the same dose of drugs on control mice did not show any hepatotoxicity. In conclusion, immune perturbation mainly mediated by TNF-α may regulate the susceptibility to PM-induced liver injury. This provides a new perspective for the study of susceptibility to IDILI.",pubmed,abstract,기존 간질환이 있는 성인 또는 소아 환자,식이보충제 또는 허브 보충제 노출,비노출 또는 통상 관리,"약인성 간손상, 간기능 악화, 간부전, 입원","코호트, 환자-대조군, 약물감시 연구, 증례군, 체계적 고찰"
v3ref-0072,pubmed:11940341,HRS1_PERIOPERATIVE,Complication of cesarean section: pregnancy on the cicatrix of a previous cesarean section.,"OBJECTIVE: To probe into the clinical manifestation, diagnosis, as well as treatment of pregnancy on the cicatrix of a previous cesarean section at the uterine isthmus in the first trimester.
METHODS: Analysis of 14 patients with pregnancy on the cicatrix of a previous cesarean section at the uterine isthmus in the first trimester was made after conservative treatment by drugs from January 1996 to December 1999.
RESULTS: The 14 patients with a pregnancy on the cicatrix of a previous cesarean section at the uterine isthmus in the first trimester were painless, had slight vaginal bleeding, and concurrently had increased serum beta-subunit human chorionic gonadotropin (beta-HCG). Doppler ultrasonic examination revealed an obvious enlargement of the previous cesarean section cicatrix in the uterine isthmus, and found a gestational sac or mixed mass attached to the cicatrice, with a very thin myometrium between the gestational sac and bladder walls. Among the 14 patients, 12 patients had crystalline trichosanthes injected into the cervix, mifepristone taken orally, or methotrexate in the form of intramuscular injection. Following this procedure, their serum beta-HCG dropped to normal. The other 2 patients had a total hysterectomy.
CONCLUSIONS: Pregnancy on the cicatrix of a previous cesarean section at the uterine isthmus in the first trimester is a complication of cesarean section. Early diagnosis and effective conservative treatment by drugs are instrumental in decreasing the potential occurrence of uterine rupture, which is also conducive to preserving the patient's future fertility.",pubmed,abstract,수술 또는 침습적 시술을 받는 성인,수술 전 식이보충제 또는 허브 보충제 노출,"비노출, 중단, 또는 통상 수술주위 관리","출혈, 수혈, 마취 상호작용, 수술주위 합병증","무작위시험, 코호트, 환자-대조군, 단면연구, 증례군, 체계적 고찰"
v3ref-0073,pubmed:29433390,HRS4_LIVER_DISEASE,"Ethnomedicine, Phytochemistry and Pharmacology of Smilax glabra: An Important Traditional Chinese Medicine.","Smilax glabra (SG) Roxb., a well-known traditional Chinese medicine, has been extensively used worldwide for its marked pharmacological activities for treating syphilitic poisoned sores, limb hypertonicity, morbid leucorrhea, eczema pruritus, strangury due to heat, carbuncle toxin, and many other human ailments. Approximately 200 chemical compounds have been isolated from SG Roxb., and the major components have been determined to be flavonoids and flavonoid glycosides, phenolic acids, and steroids. Among these active compounds, the effects of astilbin, which is used as a quality control marker to determine the quality of SG Roxb., have been widely investigated. Based on in vivo and in vitro studies, the primary active components of SG Roxb. possess various pharmacological activities, such as cytotoxic, anti-inflammatory and immune-modulatory effects, anti-oxidant, hepatoprotective, antiviral, antibacterial, and cardiovascular system protective activities. However, an extensive study to determine the relationship between the chemical compositions and pharmacological effects of SG Roxb. has not been conducted and is worth of our study. Improving the means of utilizing the effects of SG is crucial. The present paper reviews the ethnopharmacology, phytochemistry, and pharmacology of SG Roxb. and assesses its ethnopharmacological use in order to explore its therapeutic potential for future research.",pubmed,abstract,기존 간질환이 있는 성인 또는 소아 환자,식이보충제 또는 허브 보충제 노출,비노출 또는 통상 관리,"약인성 간손상, 간기능 악화, 간부전, 입원","코호트, 환자-대조군, 약물감시 연구, 증례군, 체계적 고찰"
v3ref-0074,pubmed:38886787,HRS1_PERIOPERATIVE,"Understanding maternal Ethnomedical Folklore in Central Uganda: a cross-sectional study of herbal remedies for managing Postpartum hemorrhage, inducing uterine contractions and abortion in Najjembe sub-county, Buikwe district.","UNLABELLED: Pregnant women in rural Uganda largely rely on medicinal plants for inducing labor, treating postpartum hemorrhage (PPH), and inducing abortion. 90% of the women in both rural and urban Uganda use plants to manage pregnancy symptoms like constipation, heartburn, morning sickness, body aches, nausea, and vomiting. After delivery women continue using plants to manage postpartum complications and for infant care especially herbal baths. This study documented how ethnomedical folklore has been used to aid childbirth, manage postpartum hemorrhage, and induce abortion.
METHODS: A cross-sectional ethnobotanical survey was conducted from May - December 2023 in Najjemebe sub-county, Buikwe district. 206 respondents from 12 villages were selected using snowball sampling. Key informants included Traditional Birth Attendants (TBAs) and herbalists. Data was collected using semi-structured questionnaires and focus group discussions. Voucher specimens of the plants were identified and authenticated at Makerere University Herbarium. Data were analyzed using descriptive statistics, Informant Consensus factor (ICF), Use Reports (URs), paired comparisons, and GraphPad Prism® version 9.0.0 software.
RESULTS: All respondents (N = 206, 100%), used plants to induce labour, treat PPH, and induce abortion. One hundred four plant species were documented: most cited or preferred were: Hoslundia opposita (N = 109, 53%), Phytolacca dodecandra (N = 72, 35%), and Commelina erecta (N = 47, 23%). The plants belonged to 49 families, Lamiaceae (16.3%) and Fabaceae (14.3%) having the majority of the species. Herbs were 42 (40%) and trees 23 (22%). Oral administration 95(72%) was the commonest, then topical 19 (14.4%) and vaginal 14(10.6%).
CONCLUSION: Health surveys revealed that about 27% of deliveries in Uganda take place outside a health facility. Due to the oxytocic effects of plant species reported in this study, they play a triple role of being uterotonics, abortifacients, and treating postpartum haemmorhage. The dilemma lies in the unknown dosages and toxicity levels that could endanger both the mother's and the unborn child's lives. Due to Uganda's high rates of population growth, overall fertility, maternal mortality, and morbidity, policies, and programmes on gendered health provision need to be reevaluated. Integrating herbal medicine into health care systems appears to be a feasible solution.",pubmed,abstract,수술 또는 침습적 시술을 받는 성인,수술 전 식이보충제 또는 허브 보충제 노출,"비노출, 중단, 또는 통상 수술주위 관리","출혈, 수혈, 마취 상호작용, 수술주위 합병증","무작위시험, 코호트, 환자-대조군, 단면연구, 증례군, 체계적 고찰"
v3ref-0075,pubmed:16115136,HRS5_ANTICOAGULATION,Complimentary and alternative medicine use among patients starting warfarin.,"The use of complimentary and alternative medicines (CAM) among the UK population is on the increase. For patients requiring warfarin therapy, it is important to maintain an adequate and safe level of anticoagulation. As some forms of CAM can interact with warfarin, it is imperative that any patient considered for warfarin, is asked about their use of CAM. Our report describes the incidence and type of CAM usage among patients about to start or recently commenced on warfarin therapy attending our outpatient anticoagulant clinic. All patients attending clinic for the first time were seen by a pharmacist. A retrospective analysis of the pharmaceutical care plans for all patients seen during 2003 were analysed regarding the degree of CAM usage. Of 631 care plans reviewed, 170 (26.9%) patients were taking some form of CAM. Ninety-nine (58% of all CAM users) were taking a CAM that could interact with warfarin; the commonest forms were cod-liver oil capsules and garlic capsules. We conclude that many patients new to warfarin therapy were significant users of CAM, many of which had the potential to interact with warfarin. By taking a full drug history, potential CAM/warfarin interactions could be avoided.",pubmed,abstract,"비타민 K 길항제, 직접경구항응고제 또는 헤파린을 사용하는 환자",식이보충제 또는 허브 보충제 병용,보충제 비병용 또는 기준 기간,"주요·경미 출혈, 혈전색전증, 응고검사 변화, 약물 상호작용","무작위시험, 코호트, 환자-대조군, 자기대조 연구, 증례군, 체계적 고찰"
v3ref-0076,pubmed:17055186,HRS4_LIVER_DISEASE,Ginkgo biloba extract: as a novel agent in prevention of valproic acid hepatotoxicity.,,pubmed,title_only,기존 간질환이 있는 성인 또는 소아 환자,식이보충제 또는 허브 보충제 노출,비노출 또는 통상 관리,"약인성 간손상, 간기능 악화, 간부전, 입원","코호트, 환자-대조군, 약물감시 연구, 증례군, 체계적 고찰"
v3ref-0077,pubmed:20821822,HRS4_LIVER_DISEASE,Pinus massoniana bark extract protects against oxidative damage in L-02 hepatic cells and mice.,"The hepatoprotective activity of Pinus massoniana bark extract (PMBE) against hydrogen peroxide (H2O2)-induced damage in normal human liver L-02 cells and carbon tetrachloride (CCl4)-induced acute hepatotoxicity in mice was investigated. The L-02 cells were pre-treated with PMBE for 24 hours prior to exposure to 0.5 mM H2O2 for 3 or 24 hours. The cell viability, level of malondialdehyde (MDA) and glutathione (GSH), and the catalase (CAT) activity were evaluated. For in vivo experiments, mice were divided into groups and PMBE administered orally, after which each group was assigned a further treatment. Histopathological examination, the serum levels of alanine aminotransferase (ALT), aspartate aminotransferase (AST), alkaline phosphatase (ALP), and GSH, the liver tissue levels of MDA and GSH, the activities of CAT and glutathione peroxidase (GSH-Px), were evaluated. PMBE treatment decreased the level of MDA and increased the cell viability, GSH content and CAT activity in H2O2 treated L-02 cells treated for 3 hours. PMBE obviously decreased serum ALT, AST, ALP, and liver tissue MDA, while increasing serum GSH, and liver tissue CAT and GSH-Px activities. In conclusion, PMBE treatment prevents H2O2 and CCl4-induced liver damage, and therefore could have a potential clinical usage.",pubmed,abstract,기존 간질환이 있는 성인 또는 소아 환자,식이보충제 또는 허브 보충제 노출,비노출 또는 통상 관리,"약인성 간손상, 간기능 악화, 간부전, 입원","코호트, 환자-대조군, 약물감시 연구, 증례군, 체계적 고찰"
v3ref-0078,pubmed:12807347,HRS4_LIVER_DISEASE,"Toxicity of kava pyrones, drug safety and precautions--a case study.","Kava pyrones have been sold in Germany as OTC anxiolytics until June 2002, when all preparations with a kava pyrone content of more than 10(-4) of a homeopathic stock solution were withdrawn. Other countries in which kava pyrones have been used as anxiolytics, namely GB and the USA, have not followed suit. Kava pyrone anxiolytics have been positively reviewed by the Cochrane Collaboration; also newer German clinical studies have indicated pharmacological anxiolysis at the recommended doses. To use the first choice of treatment, psychotherapy, for all uncomplicated cases of pathological fear does not appear to be realistic. Current data about kava pyrone toxicity are unclear. Judging from the few well documented cases of kava pyrone hepatotoxicity (appr. 2 out of 36) in Germany and Switzerland, an immunologically mediated idiosyncratic mechanism appears to be most likely, especially at higher doses, whereas a direct toxic mechanism is much less likely. No direct results are available for the incidence of kava pyrone-related adverse drug effects. From spontaneously reported cases the incidences of adverse drug reactions cannot be obtained, a rough estimation indicates the incidence of hepatotoxicity to be comparable to those of benzodiazepines. Taken together, the withdrawal of kava pyrone-based anxiolytics appears to be an ill founded over-reaction given the lack of superior therapeutic alternatives. Neither the case evaluations presented by the BfArM (Bundesamt für Arzneimittel und Medizinprodukte = Federal Office for Drugs and Medical Products) nor the complete rejection of proof for therapeutic efficacy of kava pyrone anxiolytics are scientifically well founded.",pubmed,abstract,기존 간질환이 있는 성인 또는 소아 환자,식이보충제 또는 허브 보충제 노출,비노출 또는 통상 관리,"약인성 간손상, 간기능 악화, 간부전, 입원","코호트, 환자-대조군, 약물감시 연구, 증례군, 체계적 고찰"
v3ref-0079,pubmed:35685517,HRS3_PREGNANCY,Effects of Pro/Prebiotics Alone over Pro/Prebiotics Combined with Conventional Antibiotic Therapy to Treat Bacterial Vaginosis: A Systematic Review.,"BACKGROUND: Bacterial vaginosis (BV), caused by an imbalance in the vaginal microbiota, can be treated and prevented by probiotics. Pregnant women with BV can experience premature labor and spontaneous abortions. Probiotics and prebiotics promote the proliferation of beneficial microorganisms, alter the composition of the vaginal microbiota, and prevent intravaginal infections in postmenopausal women. In addition to reducing infection symptoms, pre/probiotics can also help prevent vaginal infections.
MATERIALS AND METHODS: A systematic review was conducted on studies from 2010 to 2020 to determine the efficacy of pre/probiotics on the treatment of BV in pregnant and nonpregnant women. The databases Medline, Scopus, Embase, and Google Scholar were systematically searched using the following keywords: ""bacterial vaginosis,"" ""probiotics,"" ""prebiotics,"" and ""synbiotics.""
RESULTS: A total of 1,871 articles were found in the initial search, and 24 clinical trials were considered eligible. In studies comparing the effects of pre/probiotics and placebos with or without antibiotic therapy in patients with BV, significant differences in clinical outcomes were observed. Probiotics reduced the levels of IL-1β and IL-6, as well as the overall Nugent score and Amsel's criteria for restitution of a balanced vaginal microbiota. In addition, probiotics can reduce the vaginal colonization of Group B streptococci among pregnant women. In subjects treated with probiotics, BV cure rates were higher than those in subjects treated with antibiotics. There were no additional adverse events.
CONCLUSION: Pre/probiotic regimens, when used for BV treatment, are usually safe and can exhibit long-term and short-term benefits. In order to prove the benefits of pre/probiotics in BV treatment, additional high-quality research is required.",pubmed,abstract,임신부와 태아 또는 신생아,임신 중 식이보충제 또는 허브 보충제 노출,"비노출, 위약 또는 통상 산전관리","산모 독성, 임신 합병증, 선천성 이상, 태아·신생아 이상반응","무작위시험, 임신 코호트, 환자-대조군, 등록자료 연구, 증례군, 체계적 고찰"
v3ref-0080,pubmed:11246572,HRS3_PREGNANCY,Is the jury still out on folic acid and congenital anomalies?,,pubmed,title_only,임신부와 태아 또는 신생아,임신 중 식이보충제 또는 허브 보충제 노출,"비노출, 위약 또는 통상 산전관리","산모 독성, 임신 합병증, 선천성 이상, 태아·신생아 이상반응","무작위시험, 임신 코호트, 환자-대조군, 등록자료 연구, 증례군, 체계적 고찰"
v3ref-0081,pubmed:31996592,HRS2_KIDNEY_DISEASE,Vitamin D in chronic kidney disease: is there a role outside of PTH control?,"PURPOSE OF REVIEW: Vitamin D deficiency is common in patients with kidney disease and many patients receive vitamin D supplementation. Several large, well-designed clinical trials have been published in the last few years evaluating the effects of vitamin D supplementation on important outcomes for patients with kidney disease including effects on cardiovascular disease, secondary hyperparathyroidism, and kidney disease progression.
RECENT FINDINGS: Several negative trials have been published showing no effect of cholecalciferol supplementation on cardiovascular events, kidney disease progression, and albuminuria. Long-term supplementation does not appear to be associated with kidney stone disease. Vitamin D supplementation decreases parathyroid hormone (PTH) levels and high levels of 25-hydroxyvitamin D may be required for maximal suppression.
SUMMARY: There appear to be no effects of vitamin D supplementation on noncalcemic outcomes including progression of kidney disease, albuminuria, or cardiovascular disease. The primary reason to use vitamin D in kidney disease remains to lower PTH levels.",pubmed,abstract,만성콩팥병 또는 투석 환자,"비처방 비타민, 무기질 또는 허브 보충제 노출","비노출, 위약 또는 통상 관리","고칼륨혈증, 고칼슘혈증, 신독성, 심혈관 이상반응","무작위시험, 코호트, 환자-대조군, 약물감시 연구, 증례군, 체계적 고찰"
v3ref-0082,pubmed:19476472,HRS3_PREGNANCY,Can we prevent diabetic birth defects with micronutrients?,"Congenital malformations are more common in infants of diabetic women than in children of non-diabetic women. The mechanisms behind diabetes-induced congenital anomalies are not known. Disturbed micronutrient metabolism, in concert with oxidative stress, has been suggested as a cause of diabetes-induced malformations by several studies. In experimental work, administration of inositol, arachidonic acid and several antioxidative compounds, as well as folic acid, to the embryo, has proven to attenuate the teratogenic effects of a diabetic environment. Future therapeutic efforts may include supplementation with antioxidants or micronutrients, such as folic acid, to the pregnant diabetic woman, although exact compounds and doses need to be determined.",pubmed,abstract,임신부와 태아 또는 신생아,임신 중 식이보충제 또는 허브 보충제 노출,"비노출, 위약 또는 통상 산전관리","산모 독성, 임신 합병증, 선천성 이상, 태아·신생아 이상반응","무작위시험, 임신 코호트, 환자-대조군, 등록자료 연구, 증례군, 체계적 고찰"
v3ref-0083,pubmed:11909887,HRS5_ANTICOAGULATION,Complementary and alternative medicine (CAM) use by older adults: a comparison of self-report and physician chart documentation.,"BACKGROUND: Older adults are increasingly using complementary and alternative medicine (CAM) dietary supplements and herbal remedies, but may not discuss this with their physicians. When patients do report using CAM, their physicians may not record this information in patient charts.
METHODS: This cross-sectional analysis compared results of a convenience sample survey with medical charts. Participants were older than 65 and from an urban academic hospital's ambulatory geriatrics practice. We measured (i) prevalence of CAM use; (ii) proportion of CAM supplements and herbs (CAMsh) reported by patients and documented in patients' charts; (iii) percentage of patients reporting taking CAMsh with anticoagulant activity (ginger, ginkgo, garlic, and vitamin E) while concomitantly taking prescribed anticoagulant medications, as per chart; and (iv) percentages of those patients for whom the CAM anticoagulant was or was not documented in the chart.
RESULTS: We surveyed 212 patients; of those, 182 had available charts. Prevalence of CAM use was 64%. Only 35% of all self-reported supplements were documented in the charts. Of 182 patients, 84 (46%) reported taking CAM with anticoagulant properties: of these, 52% took a prescribed anticoagulant (per chart), while 48% took CAM but not prescribed anticoagulants.
CONCLUSION: CAM use is highly prevalent among older adults. Physicians do not consistently record the use of CAMsh on patients' charts. This may lead to unrecognized, potentially harmful drug-herb/drug-supplement interactions. Physicians should elicit and document information on CAM use from older adult patients, both to provide sound medical care and to advance knowledge about drug-herb/drug-supplement interactions.",pubmed,abstract,"비타민 K 길항제, 직접경구항응고제 또는 헤파린을 사용하는 환자",식이보충제 또는 허브 보충제 병용,보충제 비병용 또는 기준 기간,"주요·경미 출혈, 혈전색전증, 응고검사 변화, 약물 상호작용","무작위시험, 코호트, 환자-대조군, 자기대조 연구, 증례군, 체계적 고찰"
v3ref-0084,pubmed:39400653,HRS1_PERIOPERATIVE,Aromatherapy Using Lavender Oil Effectiveness on Pain and Anxiety After C-Section: A Randomized Controlled Trial.,"BACKGROUND: Managing postoperative setting, regarding pain and anxiety after cesarean delivery is crucial for the mother's recovery, her emotional well-being, mother-infant bonding and initiating breastfeeding. Although some research have suggested that aromatherapy with lavender essential oil can be effective in reducing pain and anxiety in various medical settings, the efficacy of lavender aromatherapy in the postoperative setting after cesarean delivery is less well-studied. We aimed to assess the effectiveness of lavender essential oil therapy in the management of pain and anxiety after cesarean delivery.
METHODS: This was a monocentric randomized controlled double-blind trial conducted over a period of five months during 2023. A hundred women undergoing c-sections under spinal anesthesia were enrolled and randomly assigned; using block randomization of 4 items per block with allocation ratio 1:1, into two groups: The aromatherapy group (receiving inhaled Lavender essential oil) versus the placebo group (receiving distilled water instead). The primary outcomes were pain (at rest and after mobilization) and anxiety levels and after the intervention. This trial was registered on clinical-trials.org (NCT06387849).
RESULTS: A total of 100 women were included (50 women in each group aromatherapy and the placebo group). The two groups were comparable regarding baseline characteristics and pre-intervention parameters with no statistically significant difference. After the intervention, the pain at rest (38,76 ± 22,9 vs. 23,84 ± 18,01; p < 0.001), the pain after mobilization (60,28 ± 23,72 vs. 40,12 ± 22,18; p < 0.001), and degree of anxiety (46,76 ± 6,59 vs. 44,3 ± 5,17; p = 0.03) were all significantly lower in the aromatherapy group. No adverse effects were reported by participants in both groups.
CONCLUSION: Aromatherapy using Lavender essential oil is effective in reducing pain and anxiety after cesarean delivery without adverse effects.",pubmed,abstract,수술 또는 침습적 시술을 받는 성인,수술 전 식이보충제 또는 허브 보충제 노출,"비노출, 중단, 또는 통상 수술주위 관리","출혈, 수혈, 마취 상호작용, 수술주위 합병증","무작위시험, 코호트, 환자-대조군, 단면연구, 증례군, 체계적 고찰"
v3ref-0085,pubmed:19590205,HRS1_PERIOPERATIVE,A comprehensive review of evidence-based strategies to prevent and treat postoperative ileus.,"BACKGROUND: Postoperative ileus (POI) is a common complication of abdominal and several other surgeries leading to increased hospital stay and healthcare costs. POI also contributes towards numerous postsurgical comorbidities including deep vein thrombosis and pneumonia. POI is characterized by bowel distention and lack of bowel sounds, flatus and bowel movements. The causative mechanism is not fully understood and may be multifactorial including disorganized electrical activity, activation of inflammatory mediators and the use of opioid analgesics.
METHODS: A selective review of the literature pertaining to the prevention and treatment of adynamic ileus and POI was completed. More specifically we sought to evaluate RCTs, meta-analyses, consensus statements and articles providing graded evidence-based data on POI prevention and treatment.
RESULTS: Perioperative strategies employed to prevent or limit the duration of POI include avoidance of preoperative fasting and mechanical bowel preparation, use of epidural-local anesthetics, implementation of minimally-invasive surgical techniques, and modification of pain management strategies to limit opioid administration among others.
CONCLUSION: Though many of these strategies have proven beneficial, no single approach has demonstrated the ability to prevent or treat POI. However, when these strategies are used in combination as part of a fast-track multimodal treatment plan, there is a significant decrease in time to return of normal bowel function and a shortened hospital stay. Additional studies are needed to make specific recommendations regarding which components of fast-track protocols are most beneficial.",pubmed,abstract,수술 또는 침습적 시술을 받는 성인,수술 전 식이보충제 또는 허브 보충제 노출,"비노출, 중단, 또는 통상 수술주위 관리","출혈, 수혈, 마취 상호작용, 수술주위 합병증","무작위시험, 코호트, 환자-대조군, 단면연구, 증례군, 체계적 고찰"
v3ref-0086,pubmed:27471014,HRS4_LIVER_DISEASE,[Hepatotoxicity associated with herbal and dietary supplements].,,pubmed,title_only,기존 간질환이 있는 성인 또는 소아 환자,식이보충제 또는 허브 보충제 노출,비노출 또는 통상 관리,"약인성 간손상, 간기능 악화, 간부전, 입원","코호트, 환자-대조군, 약물감시 연구, 증례군, 체계적 고찰"
