question_id,record_id,provider_id,title,authors,venue,year,doi,source_url,publication_types,automated_eligibility,population_evidence,supplement,dose_extracted,outcome_evidence,evidence_locator,fulltext_locator,human_screened,extraction_authority,priority_score
A2,REC-PUBMED-28197979,28197979,No Effect of Omega-3 Carboxylic Acids on Pharmacokinetics/Pharmacodynamics of Warfarin or on Platelet Function When Co-administered with Acetylsalicylic Acid: Results of Two Phase I Studies in Healthy Volunteers.,Offman E; Davidson M; Nilsson C,"American journal of cardiovascular drugs : drugs, devices, and other interventions",2017.0,10.1007/s40256-017-0217-4,https://pubmed.ncbi.nlm.nih.gov/28197979/,"Clinical Trial, Phase I|Journal Article",include_candidate_design_unclear,No Effect of Omega-3 Carboxylic Acids on Pharmacokinetics/Pharmacodynamics of Warfarin or on Platelet Function When Co-administered with Acetylsalicylic Acid: Results of Two Phase I Studies in Healthy Volunteers.. | OBJECTIVE: Our objective was to assess the effects of OM3-CA on warfarin pharmacokinetics and pharmacodynamics and on acetylsalicylic acid (ASA)-dependent and independent platelet activation when co-administered with ASA in two phase I studies.,omega[- ]?3,4 g | 40 mg | 81 mg,"No Effect of Omega-3 Carboxylic Acids on Pharmacokinetics/Pharmacodynamics of Warfarin or on Platelet Function When Co-administered with Acetylsalicylic Acid: Results of Two Phase I Studies in Healthy Volunteers.. | OBJECTIVE: Our objective was to assess the effects of OM3-CA on warfarin pharmacokinetics and pharmacodynamics and on acetylsalicylic acid (ASA)-dependent and independent platelet activation when co-administered with ASA in two phase I studies. | Lack of a drug-drug interaction was indicated when 90% confidence intervals (CIs) fell entirely within the range 80-125% for least-squares mean (LSM) ratios of area under the concentration-time curve (AUC), maximum observed plasma concentration (C max), international normalized ratio (INR) AUC to 168 h and maximum INR.","ABSTRACT: No Effect of Omega-3 Carboxylic Acids on Pharmacokinetics/Pharmacodynamics of Warfarin or on Platelet Function When Co-administered with Acetylsalicylic Acid: Results of Two Phase I Studies in Healthy Volunteers.. | In OM-EPA-007, no significant effect of OM3-CA was observed on ASA-dependent or ASA-independent platelet activation.",,False,automated_from_observed_title_abstract,29
A2,REC-PUBMED-23207874,23207874,The assessment of risk for gastrointestinal injury with anticoagulant and antiplatelet drugs: the possible beneficial effect of eicosapentaenoic Acid for the risk of gastrointestinal injury.,Tanaka M; Tanaka A; Suemaru K; Araki H,Biological & pharmaceutical bulletin,2013.0,10.1248/bpb.b12-00584,https://pubmed.ncbi.nlm.nih.gov/23207874/,Journal Article,include_candidate,"The assessment of risk for gastrointestinal injury with anticoagulant and antiplatelet drugs: the possible beneficial effect of eicosapentaenoic Acid for the risk of gastrointestinal injury.. | The adjusted odds ratios for gastrointestinal injury were 1.56 (95% confidence interval 1.07-2.36) for hypertension, 1.70 (1.17-2.50) for low-dose aspirin, 2.77 (1.70-4.49) for clopidogrel, 1.95 (1.23-3.08) for warfarin, and 4.13 (2.88-5.95) for nonsteroidal anti-inflammatory drugs.",omega[- ]?3,,"The assessment of risk for gastrointestinal injury with anticoagulant and antiplatelet drugs: the possible beneficial effect of eicosapentaenoic Acid for the risk of gastrointestinal injury.. | Of the 3271 patients who received antithrombotic drug therapy, 172 (5.3%) developed gastrointestinal injuries, including gastric ulcers, duodenal ulcers, and hemorrhagic gastrointestinal injuries.",ABSTRACT: The assessment of risk for gastrointestinal injury with anticoagulant and antiplatelet drugs: the possible beneficial effect of eicosapentaenoic Acid for the risk of gastrointestinal injury..,,False,automated_from_observed_title_abstract,18
A2,REC-PUBMED-17182793,17182793,Plasma triacylglycerol and coagulation factor concentrations predict the anticoagulant effect of dietary fish oil in overweight subjects.,Vanschoonbeek K; Feijge MA; Saris WH; de Maat MP; Heemskerk JW,The Journal of nutrition,2007.0,10.1093/jn/137.1.7,https://pubmed.ncbi.nlm.nih.gov/17182793/,"Journal Article|Research Support, Non-U.S. Gov't",include_candidate_design_unclear,"Plasma triacylglycerol and coagulation factor concentrations predict the anticoagulant effect of dietary fish oil in overweight subjects.. | Fish oil, containing (n-3) PUFA, is associated with a moderate reduction in cardiovascular disease through a multifactorial mechanism involving a decrease in plasma lipids and anticoagulant activity.",omega[- ]?3,,"Plasma triacylglycerol and coagulation factor concentrations predict the anticoagulant effect of dietary fish oil in overweight subjects.. | In both healthy subjects and diabetes patients, high triacylglycerol concentrations (>1.69 mmol/L) at baseline were closely linked to a strong fish oil-induced lowering of triacylglycerol and coagulation factor V, VII, and X concentrations, and thrombin generation.","ABSTRACT: Plasma triacylglycerol and coagulation factor concentrations predict the anticoagulant effect of dietary fish oil in overweight subjects.. | Fish oil, containing (n-3) PUFA, is associated with a moderate reduction in cardiovascular disease through a multifactorial mechanism involving a decrease in plasma lipids and anticoagulant activity. | In both healthy subjects and diabetes patients, high triacylglycerol concentrations (>1.69 mmol/L) at baseline were closely linked to a strong fish oil-induced lowering of triacylglycerol and coagulation factor V, VII, and X concentrations, and thrombin generation.",,False,automated_from_observed_title_abstract,18
A2,REC-PUBMED-17923275,17923275,Extremely prolonged INR associated with warfarin in combination with both trazodone and omega-3 fatty acids.,Jalili M; Dehpour AR,Archives of medical research,2007.0,10.1016/j.arcmed.2007.05.004,https://pubmed.ncbi.nlm.nih.gov/17923275/,Case Reports|Journal Article,include_candidate_design_unclear,Extremely prolonged INR associated with warfarin in combination with both trazodone and omega-3 fatty acids.. | We report the case of a 65-year-old Caucasian male who had been taking warfarin for 6 months after an episode of postoperative pulmonary thromboembolism (PTE).,omega[- ]?3,,"Extremely prolonged INR associated with warfarin in combination with both trazodone and omega-3 fatty acids.. | Two weeks after taking these medications, when he routinely checked his international normalized ratio (INR), he arrived at the Emergency Department (ED) with a test result showing an INR of 8.06. | His INR returned to normal within 2 days.",ABSTRACT: Extremely prolonged INR associated with warfarin in combination with both trazodone and omega-3 fatty acids.. | Coadministration of warfarin with omega-3 fatty acids can lead to additional anticoagulation.,,False,automated_from_observed_title_abstract,18
A2,REC-PUBMED-10767122,10767122,Effects of Marine Fish Oils on the Anticoagulation Status of Patients Receiving Chronic Warfarin Therapy.,Bender NK; Kraynak MA; Chiquette E; Linn WD; Clark GM; Bussey HI,Journal of thrombosis and thrombolysis,1998.0,10.1023/a:1008852127668,https://pubmed.ncbi.nlm.nih.gov/10767122/,Journal Article,include_candidate,"Effects of Marine Fish Oils on the Anticoagulation Status of Patients Receiving Chronic Warfarin Therapy.. | The purpose of this placebo-controlled, randomized, double-blinded, parallel study was to determine the existence and magnitude of effect of various doses of fish oil supplements on International Normalized Ratio (INR) determinations in patients receiving chronic warfarin therapy.",omega[- ]?3,,"Effects of Marine Fish Oils on the Anticoagulation Status of Patients Receiving Chronic Warfarin Therapy.. | The purpose of this placebo-controlled, randomized, double-blinded, parallel study was to determine the existence and magnitude of effect of various doses of fish oil supplements on International Normalized Ratio (INR) determinations in patients receiving chronic warfarin therapy. | Patients from anticoagulation clinics from both the Brady Green Community Health Center and Audie L.","ABSTRACT: Effects of Marine Fish Oils on the Anticoagulation Status of Patients Receiving Chronic Warfarin Therapy.. | The purpose of this placebo-controlled, randomized, double-blinded, parallel study was to determine the existence and magnitude of effect of various doses of fish oil supplements on International Normalized Ratio (INR) determinations in patients receiving chronic warfarin therapy. | Fish oil supplementation in doses of 3-6 grams per day does not seem to create a statistically significant effect on the anticoagulation status of patients receiving chronic warfarin therapy.",,False,automated_from_observed_title_abstract,18
B1,REC-PUBMED-11271790,11271790,Why oral calcium supplements may reduce renal stone disease: report of a clinical pilot study.,Williams CP; Child DF; Hudson PR; Davies GK; Davies MG; John R; Anandaram PS; De Bolla AR,Journal of clinical pathology,2001.0,10.1136/jcp.54.1.54,https://pubmed.ncbi.nlm.nih.gov/11271790/,Clinical Trial|Journal Article|Randomized Controlled Trial,include_candidate_design_unclear,"Why oral calcium supplements may reduce renal stone disease: report of a clinical pilot study.. | In a further population of patients on follow up for previous renal stone disease, observations were made on 1066 24 hour urine samples collected over five years in respect of seasonal effects relevant to the interpretation of the study.",calcium,500 mg,"Why oral calcium supplements may reduce renal stone disease: report of a clinical pilot study.. | AIMS: To investigate whether increasing the daily baseline of gut calcium can cause a gradual downregulation of the active intestinal transport of calcium via reduced parathyroid hormone (PTH) mediated activation of vitamin D, and to discuss why such a mechanism might prevent calcium oxalate rich stones. | METHODS: Within an intensive 24 hour urine collection regimen, daily calcium supplementation (500 mg) was given to five stone formers for a 10 week period during a six month crossover study.","ABSTRACT: Why oral calcium supplements may reduce renal stone disease: report of a clinical pilot study.. | AIMS: To investigate whether increasing the daily baseline of gut calcium can cause a gradual downregulation of the active intestinal transport of calcium via reduced parathyroid hormone (PTH) mediated activation of vitamin D, and to discuss why such a mechanism might prevent calcium oxalate rich stones. | METHODS: Within an intensive 24 hour urine collection regimen, daily calcium supplementation (500 mg) was given to five stone formers for a 10 week period during a six month crossover study.",https://pmc.ncbi.nlm.nih.gov/articles/PMC1731261/,False,automated_from_observed_title_abstract,16
B1,REC-PUBMED-24937025,24937025,Incidence of hypercalciuria and hypercalcemia during vitamin D and calcium supplementation in older women.,Gallagher JC; Smith LM; Yalamanchili V,"Menopause (New York, N.Y.)",2014.0,10.1097/gme.0000000000000270,https://pubmed.ncbi.nlm.nih.gov/24937025/,"Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",include_candidate,"Incidence of hypercalciuria and hypercalcemia during vitamin D and calcium supplementation in older women.. | OBJECTIVE: This study aims to prospectively assess the incidence of hypercalciuria and hypercalcemia with different doses of vitamin D and with a calcium intake of approximately 1,200 mg/day.",calcium,"1,200 mg | 1,200 mg/day | 200 mg","Incidence of hypercalciuria and hypercalcemia during vitamin D and calcium supplementation in older women.. | OBJECTIVE: This study aims to prospectively assess the incidence of hypercalciuria and hypercalcemia with different doses of vitamin D and with a calcium intake of approximately 1,200 mg/day. | Serum and 24-hour urine calcium were collected every 3 months on supplementation, any test result above the upper reference range represented an episode of hypercalcemia or hypercalciuria.","ABSTRACT: Incidence of hypercalciuria and hypercalcemia during vitamin D and calcium supplementation in older women.. | OBJECTIVE: This study aims to prospectively assess the incidence of hypercalciuria and hypercalcemia with different doses of vitamin D and with a calcium intake of approximately 1,200 mg/day. | Serum and 24-hour urine calcium were collected every 3 months on supplementation, any test result above the upper reference range represented an episode of hypercalcemia or hypercalciuria.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4209182/,False,automated_from_observed_title_abstract,15
B1,REC-PUBMED-11836046,11836046,Risk of calcium oxalate nephrolithiasis in postmenopausal women supplemented with calcium or combined calcium and estrogen.,Domrongkitchaiporn S; Ongphiphadhanakul B; Stitchantrakul W; Chansirikarn S; Puavilai G; Rajatanavin R,Maturitas,2002.0,10.1016/s0378-5122(01)00277-8,https://pubmed.ncbi.nlm.nih.gov/11836046/,"Clinical Trial|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",include_candidate,"Risk of calcium oxalate nephrolithiasis in postmenopausal women supplemented with calcium or combined calcium and estrogen.. | Determination of urinary saturation for calcium oxalate after calcium and estrogen supplements, especially at the initial phase of treatment, may be helpful in the avoidance of nephrolithiasis.",calcium,0.625 mg/day | 250 mg | 5 mg | 625 mg,"Risk of calcium oxalate nephrolithiasis in postmenopausal women supplemented with calcium or combined calcium and estrogen.. | However, the safety of the treatments in terms of the risk of calcium oxalate stone formation is unknown. | They were randomly allocated to receive either 625 mg of calcium carbonate (250 mg of elemental calcium) at the end of a meal three times a day (group A, n=26) or calcium carbonate in the same manner plus 0.625 mg/day of conjugated equine estrogen and 5 mg medrogestone acetate from day 1-12 each month (group B, n=30).","ABSTRACT: Risk of calcium oxalate nephrolithiasis in postmenopausal women supplemented with calcium or combined calcium and estrogen.. | However, the safety of the treatments in terms of the risk of calcium oxalate stone formation is unknown. | They were randomly allocated to receive either 625 mg of calcium carbonate (250 mg of elemental calcium) at the end of a meal three times a day (group A, n=26) or calcium carbonate in the same manner plus 0.625 mg/day of conjugated equine estrogen and 5 mg medrogestone acetate from day 1-12 each month (group B, n=30).",,False,automated_from_observed_title_abstract,13
B1,REC-PUBMED-9508013,9508013,Substituting milk for apple juice does not increase kidney stone risk in most normocalciuric adults who form calcium oxalate stones.,Massey LK; Kynast-Gales SA,Journal of the American Dietetic Association,1998.0,10.1016/s0002-8223(98)00071-6,https://pubmed.ncbi.nlm.nih.gov/9508013/,"Clinical Trial|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",include_candidate,Substituting milk for apple juice does not increase kidney stone risk in most normocalciuric adults who form calcium oxalate stones..,calcium,400 mg | 800 mg,"Substituting milk for apple juice does not increase kidney stone risk in most normocalciuric adults who form calcium oxalate stones.. | SUBJECTS: Twenty-one normocalciuric adults with a history of at least 1 calcium oxalate stone and urinary oxalate excretion exceeding 275 micromol/day on their self-selected diet. | APPLICATIONS: Substituting 360 mL milk daily for apple juice with meals in a diet containing moderate amounts of dietary oxalate from whole grains, legumes, fruits, and vegetables does not increase the risk index of calcium oxalate precipitability in most normocalciuric adults who form stones.","ABSTRACT: Substituting milk for apple juice does not increase kidney stone risk in most normocalciuric adults who form calcium oxalate stones.. | SUBJECTS: Twenty-one normocalciuric adults with a history of at least 1 calcium oxalate stone and urinary oxalate excretion exceeding 275 micromol/day on their self-selected diet. | APPLICATIONS: Substituting 360 mL milk daily for apple juice with meals in a diet containing moderate amounts of dietary oxalate from whole grains, legumes, fruits, and vegetables does not increase the risk index of calcium oxalate precipitability in most normocalciuric adults who form stones.",,False,automated_from_observed_title_abstract,13
B1,REC-PUBMED-23137489,23137489,Calcium supplementation and kidney stone risk in osteoporosis: a systematic literature review.,Candelas G; Martinez-Lopez JA; Rosario MP; Carmona L; Loza E,Clinical and experimental rheumatology,2012.0,,https://pubmed.ncbi.nlm.nih.gov/23137489/,"Journal Article|Research Support, Non-U.S. Gov't|Systematic Review",include_candidate,Calcium supplementation and kidney stone risk in osteoporosis: a systematic literature review.. | OBJECTIVES: This paper aims to examine the risk of nephrolithiasis in patients with osteoporosis and calcium supplementation.,calcium,1.500 mg | 120 mg,"Calcium supplementation and kidney stone risk in osteoporosis: a systematic literature review.. | OBJECTIVES: This paper aims to examine the risk of nephrolithiasis in patients with osteoporosis and calcium supplementation. | We measured the likelihood of developing kidney stones, renal colic, changes in urinary sediment and serum parameters.","ABSTRACT: Calcium supplementation and kidney stone risk in osteoporosis: a systematic literature review.. | OBJECTIVES: This paper aims to examine the risk of nephrolithiasis in patients with osteoporosis and calcium supplementation. | CONCLUSIONS: According to our results, calcium supplements in the treatment of osteoporosis alone or in combination with another type of treatment does not significantly increase the risk of nephrolithiasis or renal colic.",,False,automated_from_observed_title_abstract,12
B1,REC-PUBMED-18845701,18845701,Calcium supplementation and incident kidney stone risk: a systematic review.,Heaney RP,Journal of the American College of Nutrition,2008.0,10.1080/07315724.2008.10719734,https://pubmed.ncbi.nlm.nih.gov/18845701/,"Journal Article|Research Support, Non-U.S. Gov't|Systematic Review",include_candidate,Calcium supplementation and incident kidney stone risk: a systematic review.. | BACKGROUND: A report of a small increase in kidney stone risk in the calcium treatment arm of the Women's Health Initiative (WHI) led to a reduction in U.S.,calcium,,"Calcium supplementation and incident kidney stone risk: a systematic review.. | BACKGROUND: A report of a small increase in kidney stone risk in the calcium treatment arm of the Women's Health Initiative (WHI) led to a reduction in U.S. | OBJECTIVE: To reassess kidney stone risk in postmenopausal women using data accumulated in calcium supplement trials, bone active agent registration trials, and in unpublished WHI data available online; and to compare these estimates with formal published epidemiological studies of stone risk.","ABSTRACT: Calcium supplementation and incident kidney stone risk: a systematic review.. | BACKGROUND: A report of a small increase in kidney stone risk in the calcium treatment arm of the Women's Health Initiative (WHI) led to a reduction in U.S. | OBJECTIVE: To reassess kidney stone risk in postmenopausal women using data accumulated in calcium supplement trials, bone active agent registration trials, and in unpublished WHI data available online; and to compare these estimates with formal published epidemiological studies of stone risk.",,False,automated_from_observed_title_abstract,12
B1,REC-PUBMED-1593849,1593849,Stone-forming potential of milk or calcium-fortified orange juice in idiopathic hypercalciuric adults.,Coe FL; Parks JH; Webb DR,Kidney international,1992.0,10.1038/ki.1992.18,https://pubmed.ncbi.nlm.nih.gov/1593849/,"Clinical Trial|Controlled Clinical Trial|Journal Article|Research Support, Non-U.S. Gov't",include_candidate_design_unclear,"Stone-forming potential of milk or calcium-fortified orange juice in idiopathic hypercalciuric adults.. | Six male and six female, non-stone-forming, idiopathic hypercalciuric adults consumed 600 mg per day as beverage calcium for four consecutive weeks.",calcium,600 mg,"Stone-forming potential of milk or calcium-fortified orange juice in idiopathic hypercalciuric adults.. | Six male and six female, non-stone-forming, idiopathic hypercalciuric adults consumed 600 mg per day as beverage calcium for four consecutive weeks. | The results show that both milk and CCM-fortified OJ (CCM-OJ) were well tolerated by male and female hypercalciurics since few significant changes occurred in overall urinary chemistry profiles.","ABSTRACT: Stone-forming potential of milk or calcium-fortified orange juice in idiopathic hypercalciuric adults.. | Six male and six female, non-stone-forming, idiopathic hypercalciuric adults consumed 600 mg per day as beverage calcium for four consecutive weeks. | The combined pH and citrate effects are recognized to protect against calcium oxalate stone formation through formation of the soluble calcium citrate salt.",,False,automated_from_observed_title_abstract,12
B1,REC-PUBMED-21703942,21703942,Biochemical control of bone loss and stone-forming propensity by potassium-calcium citrate after bariatric surgery.,Sakhaee K; Griffith C; Pak CY,Surgery for obesity and related diseases : official journal of the American Society for Bariatric Surgery,2012.0,10.1016/j.soard.2011.05.001,https://pubmed.ncbi.nlm.nih.gov/21703942/,Journal Article|Randomized Controlled Trial,include_candidate,BACKGROUND: Patients undergoing Roux-en-Y gastric bypass (RYGB) surgery are prone to developing bone loss and kidney stones.,calcium,,"Biochemical control of bone loss and stone-forming propensity by potassium-calcium citrate after bariatric surgery.. | BACKGROUND: Patients undergoing Roux-en-Y gastric bypass (RYGB) surgery are prone to developing bone loss and kidney stones. | During the last 2 days of each 2-week phase, the serum and 24-hour urine samples were analyzed for calcium and bone turnover markers, acid base status, and urinary stone risk factors.","ABSTRACT: Biochemical control of bone loss and stone-forming propensity by potassium-calcium citrate after bariatric surgery.. | During the last 2 days of each 2-week phase, the serum and 24-hour urine samples were analyzed for calcium and bone turnover markers, acid base status, and urinary stone risk factors.",,False,automated_from_observed_title_abstract,9
B1,REC-PUBMED-15086924,15086924,Schedule of taking calcium supplement and the risk of nephrolithiasis.,Domrongkitchaiporn S; Sopassathit W; Stitchantrakul W; Prapaipanich S; Ingsathit A; Rajatanavin R,Kidney international,2004.0,10.1111/j.1523-1755.2004.00587.x,https://pubmed.ncbi.nlm.nih.gov/15086924/,"Clinical Trial|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",include_candidate,Schedule of taking calcium supplement and the risk of nephrolithiasis.. | BACKGROUND: Variation in the timing of calcium supplement may affect gastrointestinal absorption of both calcium and oxalate differently and may associate with variable risk of calcium oxalate nephrolithiasis.,calcium,,"Schedule of taking calcium supplement and the risk of nephrolithiasis.. | BACKGROUND: Variation in the timing of calcium supplement may affect gastrointestinal absorption of both calcium and oxalate differently and may associate with variable risk of calcium oxalate nephrolithiasis. | Therefore, this study was performed to compare calcium bioavailability and the risk of calcium oxalate stone formation for calcium supplement taken with meal vs.","ABSTRACT: Schedule of taking calcium supplement and the risk of nephrolithiasis.. | BACKGROUND: Variation in the timing of calcium supplement may affect gastrointestinal absorption of both calcium and oxalate differently and may associate with variable risk of calcium oxalate nephrolithiasis. | Therefore, this study was performed to compare calcium bioavailability and the risk of calcium oxalate stone formation for calcium supplement taken with meal vs.",,False,automated_from_observed_title_abstract,9
B1,REC-PUBMED-12544289,12544289,Effect of dietary calcium on stone forming propensity.,Heller HJ; Doerner MF; Brinkley LJ; Adams-Huet B; Pak CY,The Journal of urology,2003.0,10.1097/01.ju.0000043669.63989.22,https://pubmed.ncbi.nlm.nih.gov/12544289/,"Clinical Trial|Journal Article|Randomized Controlled Trial|Research Support, U.S. Gov't, P.H.S.",include_candidate,PURPOSE: Epidemiological studies have reported that high calcium diet protects against kidney stone formation in normal subjects.,calcium,,Effect of dietary calcium on stone forming propensity.. | PURPOSE: Epidemiological studies have reported that high calcium diet protects against kidney stone formation in normal subjects. | RESULTS: Urinary calcium was significantly greater on the high calcium diet (148 +/- 55 versus 118 +/- 43 mg.,ABSTRACT: Effect of dietary calcium on stone forming propensity.. | PURPOSE: Epidemiological studies have reported that high calcium diet protects against kidney stone formation in normal subjects. | RESULTS: Urinary calcium was significantly greater on the high calcium diet (148 +/- 55 versus 118 +/- 43 mg.,,False,automated_from_observed_title_abstract,9
B1,REC-PUBMED-11721154,11721154,Prolonged dietary calcium restriction: a diagnostic approach in idiopathic hypercalciuria.,Müller D; Eggert P,Nephron,2001.0,10.1159/000046108,https://pubmed.ncbi.nlm.nih.gov/11721154/,Clinical Trial|Controlled Clinical Trial|Journal Article,include_candidate_design_unclear,"Prolonged dietary calcium restriction: a diagnostic approach in idiopathic hypercalciuria.. | BACKGROUND: Although frequently observed, the etiology of idiopathic hypercalciuria (IHC) remains largely unknown.",calcium,,"Prolonged dietary calcium restriction: a diagnostic approach in idiopathic hypercalciuria.. | BACKGROUND: Although frequently observed, the etiology of idiopathic hypercalciuria (IHC) remains largely unknown. | Values for urinary calcium, PTH and calcitriol levels of all participants were obtained at different phases of the study.","ABSTRACT: Prolonged dietary calcium restriction: a diagnostic approach in idiopathic hypercalciuria.. | Values for urinary calcium, PTH and calcitriol levels of all participants were obtained at different phases of the study. | One group displayed an increase (n = 12) in urinary calcium excretion, the second (n = 15) a marked reduction, respectively.",,False,automated_from_observed_title_abstract,9
B1,REC-PUBMED-9096270,9096270,Effect of mineral water containing calcium and magnesium on calcium oxalate urolithiasis risk factors.,Rodgers AL,Urologia internationalis,1997.0,10.1159/000282958,https://pubmed.ncbi.nlm.nih.gov/9096270/,"Clinical Trial|Comparative Study|Journal Article|Research Support, Non-U.S. Gov't",include_candidate_design_unclear,Effect of mineral water containing calcium and magnesium on calcium oxalate urolithiasis risk factors.. | Calcium oxalate kidney stone formers are invariably advised to increase their fluid intake.,calcium,,"Effect of mineral water containing calcium and magnesium on calcium oxalate urolithiasis risk factors.. | Calcium oxalate kidney stone formers are invariably advised to increase their fluid intake. | Recently, a prospective study showed that a high dietary intake of calcium reduces the risk of symptomatic kidney stones.","ABSTRACT: Effect of mineral water containing calcium and magnesium on calcium oxalate urolithiasis risk factors.. | Calcium oxalate kidney stone formers are invariably advised to increase their fluid intake. | Recently, a prospective study showed that a high dietary intake of calcium reduces the risk of symptomatic kidney stones.",,False,automated_from_observed_title_abstract,9
B1,REC-PUBMED-8773335,8773335,Sensitivity to calcium intake in calcium stone forming patients.,Heilberg IP; Martini LA; Draibe SA; Ajzen H; Ramos OL; Schor N,Nephron,1996.0,10.1159/000189031,https://pubmed.ncbi.nlm.nih.gov/8773335/,"Clinical Trial|Journal Article|Research Support, Non-U.S. Gov't",include_candidate_design_unclear,"The absorptive or renal origin of hypercalciuria can be discriminated using an acute oral calcium load test (ACLT). | Of 86 patients with calcium oxalate kidney stones, 28 (23%) were found to be hypercalciuric (HCa) and 58 (67%) normocalciuric (NCa) on their customary free diet, containing 542 +/- 29 mg/day (mean +/- SE) of calcium.",calcium,,"Sensitivity to calcium intake in calcium stone forming patients.. | The absorptive or renal origin of hypercalciuria can be discriminated using an acute oral calcium load test (ACLT). | Of 86 patients with calcium oxalate kidney stones, 28 (23%) were found to be hypercalciuric (HCa) and 58 (67%) normocalciuric (NCa) on their customary free diet, containing 542 +/- 29 mg/day (mean +/- SE) of calcium.","ABSTRACT: Sensitivity to calcium intake in calcium stone forming patients.. | The absorptive or renal origin of hypercalciuria can be discriminated using an acute oral calcium load test (ACLT). | Of 86 patients with calcium oxalate kidney stones, 28 (23%) were found to be hypercalciuric (HCa) and 58 (67%) normocalciuric (NCa) on their customary free diet, containing 542 +/- 29 mg/day (mean +/- SE) of calcium.",,False,automated_from_observed_title_abstract,9
B1,REC-PUBMED-37049567,37049567,Vitamin D and Calcium Supplementation and Urolithiasis: A Controversial and Multifaceted Relationship.,Messa P; Castellano G; Vettoretti S; Alfieri CM; Giannese D; Panichi V; Cupisti A,Nutrients,2023.0,10.3390/nu15071724,https://pubmed.ncbi.nlm.nih.gov/37049567/,Journal Article|Review,include_candidate_design_unclear,"Vitamin D and Calcium Supplementation and Urolithiasis: A Controversial and Multifaceted Relationship.. | Patients with urolithiasis, and particularly those with hypercalciuria, frequently have a marked reduction of bone mineral content up to the levels of osteoporosis, with a significant increase in bone fracture risk.",calcium,,"Vitamin D and Calcium Supplementation and Urolithiasis: A Controversial and Multifaceted Relationship.. | Patients with urolithiasis, and particularly those with hypercalciuria, frequently have a marked reduction of bone mineral content up to the levels of osteoporosis, with a significant increase in bone fracture risk. | On the other hand, both calcium supplementation, and even more vitamin D therapy, can worsen the risk of developing urolithiasis by increasing calcium, phosphate, and oxalate urinary excretion.","ABSTRACT: Vitamin D and Calcium Supplementation and Urolithiasis: A Controversial and Multifaceted Relationship.. | On the other hand, both calcium supplementation, and even more vitamin D therapy, can worsen the risk of developing urolithiasis by increasing calcium, phosphate, and oxalate urinary excretion. | Finally, we share with the reader our pragmatic algorithm for handling the urolithiasis risk in patients who have strong indications to be prescribed vitamin D and calcium supplementations.",https://pmc.ncbi.nlm.nih.gov/articles/PMC10096570/,False,automated_from_observed_title_abstract,7
B1,REC-PUBMED-26788229,26788229,Combined vitamin D and calcium supplementation in vitamin D inadequate patients with urolithiasis: Impact on hypercalciuria and de novo stone formation.,Hesswani C; Noureldin YA; Elkoushy MA; Andonian S,Canadian Urological Association journal = Journal de l'Association des urologues du Canada,2015.0,10.5489/cuaj.3332,https://pubmed.ncbi.nlm.nih.gov/26788229/,Journal Article,include_candidate_design_unclear,Combined vitamin D and calcium supplementation in vitamin D inadequate patients with urolithiasis: Impact on hypercalciuria and de novo stone formation.. | INTRODUCTION: We examined the effect of combined vitamin D and calcium supplementation (VDCS) on urinary calcium excretion and de novo stone formation in vitamin D inadequate (VDI) urolithiasis patients.,calcium,,Combined vitamin D and calcium supplementation in vitamin D inadequate patients with urolithiasis: Impact on hypercalciuria and de novo stone formation.. | INTRODUCTION: We examined the effect of combined vitamin D and calcium supplementation (VDCS) on urinary calcium excretion and de novo stone formation in vitamin D inadequate (VDI) urolithiasis patients. | METHODS: We retrospectively reviewed the data of VDI patients (serum 25-hydroxyvitamin D <75 nmol/L) followed at a tertiary stone centre between September 2009 and December 2014.,"ABSTRACT: Combined vitamin D and calcium supplementation in vitamin D inadequate patients with urolithiasis: Impact on hypercalciuria and de novo stone formation.. | INTRODUCTION: We examined the effect of combined vitamin D and calcium supplementation (VDCS) on urinary calcium excretion and de novo stone formation in vitamin D inadequate (VDI) urolithiasis patients. | 66.4 nmol/L, p < 0.001) and the mean urinary calcium excretion (3.80 vs.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4707892/,False,automated_from_observed_title_abstract,7
