report_id,record_id,pmid,question_ids,title,agent_provisional_study_id,agent_recommendation,linkage_evidence,trial_registration_ids,duplicate_cluster_ids,component_report_count,confidence,source_record_sha256,decision_authority,human_link_decision,human_study_id,verified_by,verified_at
RPT-PUBMED-182721,REC-PUBMED-182721,182721,B2,Direct stimulation of bone resorption by thyroid hormones.,AGENT-STUDY-77DE58313A4D,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,3c732476e516547f48b42e235fecc59449e607e952fcbcf7dd393b77635a54bf,agent_prereview_only,,,,
RPT-PUBMED-187621,REC-PUBMED-187621,187621,B2,Urinary cyclic AMP analyzed as a function of the serum calcium and parathyroid hormone in the idfferential diagnosis of hypercalcemia.,AGENT-STUDY-303C1C57EEFA,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,204285e971c1d0dbfccf55046b6f31980f7f1b282ec407a3ed1e886123c4f111,agent_prereview_only,,,,
RPT-PUBMED-192763,REC-PUBMED-192763,192763,B2,"The role of 1 alpha, 25-dihydroxyvitamin D in the mediation of intestinal hyperabsorption of calcium in primary hyperparathyroidism and absorptive hypercalciuria.",AGENT-STUDY-D103BBE1BE0B,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,0949a619e272ffae3b7438341ab2a3f3f18fd4725b554b933f05c9eb08e73622,agent_prereview_only,,,,
RPT-PUBMED-196503,REC-PUBMED-196503,196503,B2,Primary hyperparathyroidism presenting as anticonvulsant-induced osteomalacia.,AGENT-STUDY-A8152B286F1C,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,35b9adb824b19052f90ed5515b12989d2d5bab7fe7bdf159354fc45de2dacfd1,agent_prereview_only,,,,
RPT-PUBMED-199972,REC-PUBMED-199972,199972,B2,"[Effect of ""carbostimulin"", vitamin D 3 and their mixture on bone tissue regeneration].",AGENT-STUDY-1316CF42FEF8,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,ed81efd078340538f3cb46f28fc000e54aad2352ce6584a5c9c8d3814955ec04,agent_prereview_only,,,,
RPT-PUBMED-207082,REC-PUBMED-207082,207082,B2,The effects of vitamin D on the rat kidney metabolism under conditions of experimental hypercalcemia.,AGENT-STUDY-1790EDE42736,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,b690686ee5f9b194db7f0ada65904c7a32836d174f27287ee5b610f91a86b022,agent_prereview_only,,,,
RPT-PUBMED-212224,REC-PUBMED-212224,212224,B2,The vitamin D3 metabolite-type activity of Solanum malacoxylon.,AGENT-STUDY-E76A7ED556B4,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,fdc6a7d2aace7e4af345a8d1418bfaf2015fded605bafa3f380e72285054ff26,agent_prereview_only,,,,
RPT-PUBMED-213947,REC-PUBMED-213947,213947,B2,The intestinal phosphate transport under condition of experimental hypercalcemia.,AGENT-STUDY-61DB8BDD0C80,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,5faf292e31672973f5d478ae28fcbdd01a5af9927d327fd12b0783ab9a73d585,agent_prereview_only,,,,
RPT-PUBMED-219035,REC-PUBMED-219035,219035,B2,Interactions between vitamin D deficiency and phosphorus depletion in the rat.,AGENT-STUDY-DBAE7A723B1C,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,c09b107d18cbec38bc61b1a3f9fa17fb80bdcf1ddc663d2ab11544dc46cf9fa2,agent_prereview_only,,,,
RPT-PUBMED-223374,REC-PUBMED-223374,223374,B2,Vitamin D sclerosis in rats.,AGENT-STUDY-6950CDF08944,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,8d1d2b0ae06ec2ede1f4eb3c1b5e1600360295edff828ad50042fb2221d099e7,agent_prereview_only,,,,
RPT-PUBMED-223375,REC-PUBMED-223375,223375,B2,Comparison of the mechanism of action of vitamin D3 and 1 alpha-OH D3 under conditions of experimental hypercalcemia.,AGENT-STUDY-40BE553CBC71,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,4d0d7c8a64032fc158f74816cbf2bcee84079881fb34545c6456becec2e002ef,agent_prereview_only,,,,
RPT-PUBMED-223811,REC-PUBMED-223811,223811,B2,Cadmium nephropathy.,AGENT-STUDY-A4027CB0C9FE,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,29d51e0f4944c770aa1c43bd65838bf8bff8e25c4729591b29932e73d213dc8f,agent_prereview_only,,,,
RPT-PUBMED-224830,REC-PUBMED-224830,224830,B2,Glucocorticoid effects in vitamin D intoxication.,AGENT-STUDY-6BD381B5C51E,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,b29edc00a319a1a947dbc25ac9d4f74fd1cf3f7262c98a638a5f73d8fae3dc57,agent_prereview_only,,,,
RPT-PUBMED-227085,REC-PUBMED-227085,227085,B2,[Hypercalcemia and osteoclast activating factor (OAF) associated with acute lymphoblastic leukemia (author's transl)].,AGENT-STUDY-A2F25A2EA3C5,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,f3f8e555ea8225dfb93e322665b15b2c37e77a05a6b671446e9b3ca0f822e32c,agent_prereview_only,,,,
RPT-PUBMED-227925,REC-PUBMED-227925,227925,B2,Skeletal muscle calcium metabolism and contractile force in vitamin D-deficient chicks.,AGENT-STUDY-663E7A118E53,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,a951d4d281f2e2e1a0a8eccddc1698cb453f4f719a3332f0a46143cbc9a2ddcf,agent_prereview_only,,,,
RPT-PUBMED-229736,REC-PUBMED-229736,229736,B2,Physiological basis for absorptive and renal hypercalciurias.,AGENT-STUDY-00A21F97034C,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,631cfa498fa4da6922abbc02ab5ade4b977431b54397ce3e0502c8e06e37cf46,agent_prereview_only,,,,
RPT-PUBMED-231424,REC-PUBMED-231424,231424,B3,Experimental oxalate urolith formation in rats.,AGENT-STUDY-0EF94B5875F5,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,079c1df1976d38da32333063990e7de75325a71a672ed6db982f1b764ea68278,agent_prereview_only,,,,
RPT-PUBMED-244372,REC-PUBMED-244372,244372,B2,Use of 1alpha-hydroxycholecalciferol in the prevention of bovine parturient paresis.,AGENT-STUDY-98B872E40188,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,49f226b3fb532196efe0a310a747a3aca6f11a218d5ef5c0b652187f7eb9ddcd,agent_prereview_only,,,,
RPT-PUBMED-302061,REC-PUBMED-302061,302061,B2,[Effect of thyroid and adrenal hormones on the course of hypervitaminosis A and D].,AGENT-STUDY-24FC40B5D3A0,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,0fe197980ec0c0840e972d3622f2a427eadf052bc78748393e61d8aa91476947,agent_prereview_only,,,,
RPT-PUBMED-309216,REC-PUBMED-309216,309216,B2,[Comparative study of the biological activity and toxic effect of 1alpha-hydroxycholecalciferol and ergocalciferol in rats].,AGENT-STUDY-5F2D61D743A2,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,da42c7e20e5d6a363af8b5325ac28f3fd8840f74023f86b779c426a7a5e9d327,agent_prereview_only,,,,
RPT-PUBMED-312811,REC-PUBMED-312811,312811,B2,"Evidence that increased circulating 1 alpha, 25-dihydroxyvitamin D is the probable cause for abnormal calcium metabolism in sarcoidosis.",AGENT-STUDY-40E74C43EF20,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,cb419c7cc3f9d41d09253feb46395ba683107d21388231fed55d63a7e1d3e2b3,agent_prereview_only,,,,
RPT-PUBMED-333572,REC-PUBMED-333572,333572,B2,[Treatment of renal osteodystrophy: physiopathology and secondary effects].,AGENT-STUDY-E8164D974E41,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,ea3c28b7e176666c922acfb457b6a3b765f4c023a1e9812873e62da56a4bf5f2,agent_prereview_only,,,,
RPT-PUBMED-356199,REC-PUBMED-356199,356199,B2,Renal function in hypercalcemia after renal transplantation.,AGENT-STUDY-FAE7FAFB6930,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,f38b1ca7203742151794139b6cde151375bd02b13c00010e42d685f4b8c6373f,agent_prereview_only,,,,
RPT-PUBMED-356207,REC-PUBMED-356207,356207,B2,Arterial disease with ischemic ulcerations in renal transplanted recipients.,AGENT-STUDY-5CDB89E6E474,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,448356a5bc708541736008ee0aa6dbe1781d59b348c0e25002a10c789e84e350,agent_prereview_only,,,,
RPT-PUBMED-362722,REC-PUBMED-362722,362722,B2,The pathophysiology and clinical aspects of hypercalcemic disorders.,AGENT-STUDY-ADD6FE43DC95,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,d2ac958fd7554e67b2918cb95a9de9b22f4ff1c51383fbe3fa8c396921e09cee,agent_prereview_only,,,,
RPT-PUBMED-373941,REC-PUBMED-373941,373941,A1,gamma-Carboxyglutamate excretion and warfarin therapy.,AGENT-STUDY-728324BD93D2,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,71666dfe9b30e4db89f6df457a1c053df89333b9a72750bb96a0bc15168e074b,agent_prereview_only,,,,
RPT-PUBMED-388796,REC-PUBMED-388796,388796,B2,A survey of calcium urolithiasis in normocalcemic hypercalciuria: possible role of nutrients and diet-mediated factors.,AGENT-STUDY-DCE5BDA036D3,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,513032d39a746f43e499c185e701a5998b8aecd2c3971a79617631b0decb1856,agent_prereview_only,,,,
RPT-PUBMED-402385,REC-PUBMED-402385,402385,B2,Immunological and immunoassay studies of the binding protein for vitamin D and its metabolites in human serum.,AGENT-STUDY-5A7E7EB33FAC,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,fa430e2638139602172fe4a83b275fc401b0074ba77d66229246c5401fd7c486,agent_prereview_only,,,,
RPT-PUBMED-425376,REC-PUBMED-425376,425376,B2,[Experimental vitamin D deficiency with different dietary calcium-phosphorus ratios].,AGENT-STUDY-9049E0EEFE36,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,44d7401dc4f16c3deb796f350bdf25a88dce44f0e0835242d03b0f47764f0206,agent_prereview_only,,,,
RPT-PUBMED-426400,REC-PUBMED-426400,426400,B2,Hypercalcemia in active pulmonary tuberculosis.,AGENT-STUDY-85A4FFFB2031,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,5570f814114ebab75115b413b321d25d8cad65f63851531ade7eb534a7c2b2a8,agent_prereview_only,,,,
RPT-PUBMED-430246,REC-PUBMED-430246,430246,A1,Preventive effects of phylloquinone on hemorrhagic death induced by butylated hydroxytoluene in male rats.,AGENT-STUDY-5D52DA5C8105,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,6cae4ba64bae1a1bc3375375afa0a70902fe7a2ae150823a32b138cb5a070a6d,agent_prereview_only,,,,
RPT-PUBMED-435405,REC-PUBMED-435405,435405,A1,"Synthesis of procoagulant factor VIII, factor VIII related antigen and other coagulation factors by the isolated perfused rat liver.",AGENT-STUDY-C7475773FDC6,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,728541176598ffb4c86f0ddbf14378a3c28060d821329dba61be5339b6adc446,agent_prereview_only,,,,
RPT-PUBMED-440508,REC-PUBMED-440508,440508,B2,Hypercalcemic and hypocalcemic disorders: diagnosis and treatment.,AGENT-STUDY-C92580B81DAC,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,ea9ffe6e7d22afd38a9269f9d157ffd7f15fa7db8a0ed16bff1727c7b3f4aefd,agent_prereview_only,,,,
RPT-PUBMED-443641,REC-PUBMED-443641,443641,B2,[Hypervitaminosis D. Review of fifteen cases].,AGENT-STUDY-ADB9B8F9EC7F,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,adc483e49ae8cceb6c1462559ac573ec8ec36dfde5a5f709fe1afac159ce801a,agent_prereview_only,,,,
RPT-PUBMED-443744,REC-PUBMED-443744,443744,B2,"[Simultaneous radiocompetitive assay for 25 hydroxyvitamin D and 24, 25 dihydroxyvitamin D in human serum (author's transl)].",AGENT-STUDY-722F77C38B1C,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,2c3af45345518154b041ac88c2f17f179a8c9b55bdc95b2117432024d245f4ba,agent_prereview_only,,,,
RPT-PUBMED-446396,REC-PUBMED-446396,446396,B2,Hypercalcemic effect of insulin in the chick.,AGENT-STUDY-B71AD485E1A8,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,afc72d4164024c97fc8e4426e0678a43699588f6b741903ee5c7505596d85b18,agent_prereview_only,,,,
RPT-PUBMED-453687,REC-PUBMED-453687,453687,B2,Vitamin D intoxication and the pathogenesis of vitamin D nephropathy in the dog.,AGENT-STUDY-5B07FE5908D7,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,e506ccbee3ce071db599e4f941b046b80756f6be97092d91ffb3b42d753f2358,agent_prereview_only,,,,
RPT-PUBMED-454253,REC-PUBMED-454253,454253,A1,Sciatic nerve compression during anticoagulation therapy. Computerized tomography aids in diagnosis.,AGENT-STUDY-1D8044A87D99,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,209dedab62e8cf32696c48a9968243755565f361eef6f8164eb6214831b9ef77,agent_prereview_only,,,,
RPT-PUBMED-456941,REC-PUBMED-456941,456941,A1,Control of anticoagulant therapy with a chromogenic substrate.,AGENT-STUDY-518A14E29506,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,ee799d60aac3a49e7bf35c6c32add0b36f3675c169364ee3e7ad232bdcff36fb,agent_prereview_only,,,,
RPT-PUBMED-469382,REC-PUBMED-469382,469382,A1,The antithrombotic effects of warfarin and heparin following infusions of tissue thromboplastin in rabbits: clinical implications.,AGENT-STUDY-549010434D58,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,fda58ba1b6ee99f23b08b3da1c12d10d5ae96c8d0b72390c3c3912f5835c79ea,agent_prereview_only,,,,
RPT-PUBMED-473111,REC-PUBMED-473111,473111,A1,Metabolism of the coagulation factors of the prothrombin complex in hypothyroidism in man.,AGENT-STUDY-447DE865582F,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,0d8f2df1247a1c59244ff1dff76ea23684b8889eec0545e19f99a096b8154c89,agent_prereview_only,,,,
RPT-PUBMED-482179,REC-PUBMED-482179,482179,B2,Causes of hypercalcemia.,AGENT-STUDY-177D1598CBB2,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,536fccb2e35d86c7320e601f389a80252f1a386fb69e37afdb2743004b3159a8,agent_prereview_only,,,,
RPT-PUBMED-488032,REC-PUBMED-488032,488032,B2,Renal tubular dysfunction and abnormalities of calcium metabolism in cadmium workers.,AGENT-STUDY-BBA81C9DC610,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,ef5385dd8886027f7a10a1e32c534aa9a57649951b284e0676544e9c58aa5589,agent_prereview_only,,,,
RPT-PUBMED-492633,REC-PUBMED-492633,492633,B2,Paraneoplastic hypercalcemia in ovarian tumors.,AGENT-STUDY-D2AB29C8FD17,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,1c62320bcbd312ea2755687ce598e017be681950b71b47ed6ad9ecb84ff01fb4,agent_prereview_only,,,,
RPT-PUBMED-514292,REC-PUBMED-514292,514292,B2,[Idiopathic hypercalciuria due to primary decrease in the renal tubular reabsorption of calcium. Hypercalciuria type 2 according to Bordier (author's transl)].,AGENT-STUDY-0B5C617944B5,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,53028653501b3e7e6a4f52064bac45f94c232225087c383f17db7d9f408368b6,agent_prereview_only,,,,
RPT-PUBMED-532267,REC-PUBMED-532267,532267,B2,"Studies of calcitonin cells and parathyroid gland of house shrew, Suncus murinus in response to experimental hypercalcemia.",AGENT-STUDY-304FD0E92F2A,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,8909db1854a45dda824558ba479e7174092f5a1fd6d1cf8a8cf5912772bba003,agent_prereview_only,,,,
RPT-PUBMED-535622,REC-PUBMED-535622,535622,B1,Bladder calculi in rats treated with nitrosomethylurea and fed artificial sweeteners.,AGENT-STUDY-0940302F19B0,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,688b5b52df5d7af01f5283798636805ea865fed9be94f2e0046d08baae0b753a,agent_prereview_only,,,,
RPT-PUBMED-543511,REC-PUBMED-543511,543511,A1,Coagulation problems relating to vitamin E.,AGENT-STUDY-F3C64D9A1299,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,e09b0335b33158067e3c198cc45be200f9a8dec3ef101c2c65659bd2ca3c0ef5,agent_prereview_only,,,,
RPT-PUBMED-556987,REC-PUBMED-556987,556987,B3,The diurnal urinary excretion of oxalate and the effect of pyridoxine and ascorbate on oxalate excretion.,AGENT-STUDY-92589BFA1E12,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,b4a5eba019afc5429f3a5401f691ef9ae295786ad924aa7d7869a4717516987e,agent_prereview_only,,,,
RPT-PUBMED-557759,REC-PUBMED-557759,557759,B2,Localization of technetium-99m diphosphonate in acutely injured muscle. Relationship to muscle calcium deposition.,AGENT-STUDY-CAF2AF4CA09F,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,6af6824d77ebffc3566f7ab41b0f19c295f7a696bbceab0b9343cd9f4f4c4cc6,agent_prereview_only,,,,
RPT-PUBMED-558475,REC-PUBMED-558475,558475,B2,[Neonatal hypocalcemia in hyperparathyroidism of the mother (author's transl)].,AGENT-STUDY-45DC0873CF02,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,05504d37ef7dddce11347dc3a4e9317c689df192655e8dceca60ebda9433239f,agent_prereview_only,,,,
RPT-PUBMED-576160,REC-PUBMED-576160,576160,B2,"Reversible hypertension. Caused by the hypercalcemia of hyperparathyroidism, vitamin D toxicity, and calcium infusion.",AGENT-STUDY-3B1D3713BACC,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,b31c7e94e46cd38b2fefa7dcfd19bd23cbaefcc5a784c71d92292fa1ebfbe880,agent_prereview_only,,,,
RPT-PUBMED-628374,REC-PUBMED-628374,628374,B2,Treatment of hypoparathyroid patients with chlorthalidone.,AGENT-STUDY-CB2C13DE00EE,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,7e3191c225826af2a5c18fd5ad0f2ec5595ccbbb0481930628623a8a64c875b2,agent_prereview_only,,,,
RPT-PUBMED-629344,REC-PUBMED-629344,629344,B2,Mechanism of lithium-induced hypercalciuria in rats.,AGENT-STUDY-D5AA227EFC05,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,4dbef6122d61a1d9692315e3e7ed87f70af4ee7fab3590f7c24e8b145f0778ce,agent_prereview_only,,,,
RPT-PUBMED-645444,REC-PUBMED-645444,645444,B2,Reversible renal failure caused by hypercalcemia. A retrospective study.,AGENT-STUDY-CAF18491DE16,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,c85a224eb1671722f84c121269744ccf83b8dc277baa12226a272af752bee0a6,agent_prereview_only,,,,
RPT-PUBMED-646199,REC-PUBMED-646199,646199,A1,Hemostatic function in swine as influenced by warfarin and an oral antibacterial combination.,AGENT-STUDY-7717BE330B21,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,5290979f08d3cc04357f3c45af42b03bdfe93da37ba7b8c61934dbc3de8f68dc,agent_prereview_only,,,,
RPT-PUBMED-657092,REC-PUBMED-657092,657092,B2,Mechanisms of hypercalcemia in malignancy.,AGENT-STUDY-59DF6C8B1611,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,63995f0c97025606bb5ea2069496a7db6011564922bd0db84855c28d74665b05,agent_prereview_only,,,,
RPT-PUBMED-658784,REC-PUBMED-658784,658784,A1,"Rat coagulation factors V, VIII, XI, and XII: vitamin K dependent.",AGENT-STUDY-503C5617D62F,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,1eadc8a564d87e05250f80114fa5d8e55dba9cf51523751e59c468e15d4658ce,agent_prereview_only,,,,
RPT-PUBMED-659599,REC-PUBMED-659599,659599,B2,"Inhibition of parathyroid hormone secretion by 25-hydroxycholecalciferol and 24,25-dihydroxycholecalciferol in the dog.",AGENT-STUDY-A8F073ACBCF0,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,c8d85381b3a24ad7ca97fc3caf7668a6bb24c9711a672f345708965fff8774c0,agent_prereview_only,,,,
RPT-PUBMED-660307,REC-PUBMED-660307,660307,B3,Oxalic acid metabolism in the rat.,AGENT-STUDY-BAA7ED05B71D,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,847eb60383f5c6caf7602840ad710df91363fa165f9beb2bc326388ac84d5efa,agent_prereview_only,,,,
RPT-PUBMED-668394,REC-PUBMED-668394,668394,B2,Vitamin D toxicity. Initial site and mode of action.,AGENT-STUDY-C013E254AF07,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,89bda5c139e37600b3efc450903926a94702f1096d108dfa50460009d83651a3,agent_prereview_only,,,,
RPT-PUBMED-672143,REC-PUBMED-672143,672143,B2,25-hydroxy-vitamin D levels in a patient with hypervitaminosis D.,AGENT-STUDY-0F16295AE54D,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,7f695a7ac0192c71c4d92f8175cdbdaa62638c43e3f58bc7d60e4b44910f4499,agent_prereview_only,,,,
RPT-PUBMED-675220,REC-PUBMED-675220,675220,A1,[Are salicoyl-like analgesics vitamin K antagonists? An interpretation of spontaneous subnormal Quick values].,AGENT-STUDY-5C7EB1CF8106,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,1e498ca8f9f446d653dc42dba0950a4bb90ae5e6ffd16b70a68c75a057a3e7c1,agent_prereview_only,,,,
RPT-PUBMED-700946,REC-PUBMED-700946,700946,B2,Effects of 1alpha-hydroxyvitamin D3 on serum calcium and immunoreactive parathyroid hormone in patients with chronic renal insufficiency.,AGENT-STUDY-59409D0EC2D5,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,b857e4cd7a54dee7f8e93b7e6606cefaf59d9cf75e08d5edebd63ccf20abca45,agent_prereview_only,,,,
