record_id,kmid,question_id,title,agent_recommendation,recommendation_reason,matched_title_signals,uncertainty_flags,koreamed_url,decision_authority,human_decision
REC-KOREAMED-2535822,2535822,A1,Gastrointestinal bleeding risk of non-vitamin K antagonist oral anticoagulants versus warfarin in general and after polypectomy: a population-based study with propensity score matching analysis,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,warfarin|vitamin k|bleed,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2535822,agent_prereview_only,
REC-KOREAMED-2374082,2374082,A1,Development and Comparison of Warfarin Dosing Algorithms in Stroke Patients,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,warfarin,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2374082,agent_prereview_only,
REC-KOREAMED-2083466,2083466,A1,A Case of Soft Tissue Bleeding Due to a Possible Drug Interaction between Warfarin and TS-1,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,warfarin|bleed,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2083466,agent_prereview_only,
REC-KOREAMED-2366166,2366166,A1,The Persistence of Non-Vitamin K Antagonist Oral Anticoagulants in Korean Patients with Non-Valvular Atrial Fibrillation,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,vitamin k,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2366166,agent_prereview_only,
REC-KOREAMED-1794613,1794613,A1,Extremely Elevated International Normalized Ratio of Warfarin in a Patient with CYP2C9*1/*3 and Thyrotoxicosis,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,warfarin,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=1794613,agent_prereview_only,
REC-KOREAMED-2317763,2317763,A1,Sudden Hemiplegia by Epidural Hematoma in a Patient Treated with Warfarin and Therapeutic Range International Normalized Ratio,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,warfarin,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2317763,agent_prereview_only,
REC-KOREAMED-2308908,2308908,A1,Use of NOAC in Cardioversion,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2308908,agent_prereview_only,
REC-KOREAMED-2396475,2396475,A1,Real-world Data and Recommended Dosage of Non-vitamin K Oral Anticoagulants for Korean Patients,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,vitamin k,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2396475,agent_prereview_only,
REC-KOREAMED-2414909,2414909,A1,Effect of Non-vitamin K Antagonist Oral Anticoagulants in Atrial Fibrillation Patients with Newly Diagnosed Cancer,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,vitamin k,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2414909,agent_prereview_only,
REC-KOREAMED-1824947,1824947,A1,VKORC1 and CYP2C9 Genotype Variations in Relation to Warfarin Dosing in Korean Stroke Patients,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,warfarin,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=1824947,agent_prereview_only,
REC-KOREAMED-2540071,2540071,A1,Comparison of Early Complications of Oral Anticoagulants after Totally Thoracoscopic Ablation: Warfarin versus Non-vitamin K Antagonist Oral Anticoagulants,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,warfarin|vitamin k,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2540071,agent_prereview_only,
REC-KOREAMED-2424435,2424435,A1,Heart Failure as a Risk Factor for Stroke,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2424435,agent_prereview_only,
REC-KOREAMED-2533903,2533903,A1,Impact of ABCB1 C3435T Polymorphism on Treatment Response of Vitamin K Antagonists: A Systematic Review and Meta-analysis,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,vitamin k,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2533903,agent_prereview_only,
REC-KOREAMED-2054163,2054163,A1,Non-operative Treatment of Femoral Neuropathy Caused by Iliacus Hematoma: A Case Report,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2054163,agent_prereview_only,
REC-KOREAMED-2454974,2454974,A1,Management of antithrombotic agents and current issues in patients undergoing endoscopic submucosal dissection,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2454974,agent_prereview_only,
REC-KOREAMED-2551951,2551951,A1,Comparison of the International Normalized Ratio Between a Point-of-Care Test and a Conventional Laboratory Test: the Latter Performs Better in Assessing Warfarin-induced Changes in Coagulation Factors,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,warfarin|coagulation,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2551951,agent_prereview_only,
REC-KOREAMED-2438027,2438027,A1,The 2018 Korean Heart Rhythm Society Practical Guidelines on the use of Non-Vitamin K-Antagonist Oral Anticoagulants: Bleeding Control and Perioperative Management,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,vitamin k|bleed,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2438027,agent_prereview_only,
REC-KOREAMED-1826383,1826383,A1,Trends in Oral Anticoagulation Therapy Among Korean Patients With Atrial Fibrillation: The KORean Atrial Fibrillation Investigation,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,coagulation,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=1826383,agent_prereview_only,
REC-KOREAMED-2368399,2368399,A1,Spontaneous Intracerebral Hemorrhage: Management,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,hemorrhage,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2368399,agent_prereview_only,
REC-KOREAMED-2502300,2502300,A1,A Large Defect on Nasal Dorsum Treated by Secondary Intention Healing,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2502300,agent_prereview_only,
REC-KOREAMED-2559774,2559774,A1,Direct Oral Anticoagulants in Antiphospholipid Syndrome-Associated Venous Thromboembolism: Real World Evidence,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2559774,agent_prereview_only,
REC-KOREAMED-2517602,2517602,A1,Clinical utilization of four-factor prothrombin complex concentrate: a retrospective single center study,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2517602,agent_prereview_only,
REC-KOREAMED-2377723,2377723,A1,The Perioperative Management of Antithrombotic Therapies Using Enoxaparin,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2377723,agent_prereview_only,
REC-KOREAMED-2368397,2368397,A1,"Epidemiology, Risk Factors, and Clinical Features of Intracerebral Hemorrhage: An Update",uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,hemorrhage,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2368397,agent_prereview_only,
REC-KOREAMED-2420640,2420640,A1,Anticoagulation for Stroke Prevention in Older Adults with Atrial Fibrillation and Comorbidity: Current Evidence and Treatment Challenges,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,coagulation,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2420640,agent_prereview_only,
REC-KOREAMED-2527871,2527871,A1,Underutilization of anticoagulants in patients with nonvalvular atrial fibrillation in the era of non‑vitamin K antagonist oral anticoagulants,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,vitamin k,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2527871,agent_prereview_only,
REC-KOREAMED-2514538,2514538,A1,Risk for osteoporotic fractures in patients with atrial fibrillation using different oral anticoagulants,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2514538,agent_prereview_only,
REC-KOREAMED-2447752,2447752,A1,Antithrombotic Strategy in Atrial Fibrillation Patients Undergoing Percutaneous Coronary Intervention,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2447752,agent_prereview_only,
REC-KOREAMED-2415445,2415445,A1,Impact of the Health Insurance Coverage Policy on Oral Anticoagulant Prescription among Patients with Atrial Fibrillation in Korea from 2014 to 2016,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2415445,agent_prereview_only,
REC-KOREAMED-2070114,2070114,A1,Evaluation of risk factors in patients with vitamin K-dependent coagulopathy presumed to be caused by exposure to brodifacoum,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,vitamin k,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2070114,agent_prereview_only,
REC-KOREAMED-2454676,2454676,A1,Korean Heart Rhythm Society 2019 Practical Guidelines on Antithrombotic Therapy for AF Patients Undergoing Percutaneous Coronary Intervention or Structural Heart Disease Intervention,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2454676,agent_prereview_only,
REC-KOREAMED-2435176,2435176,A1,2018 KHRS Expert Consensus Recommendation for Oral Anticoagulants Choice and Appropriate Doses: Specific Situation and High Risk Patients,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2435176,agent_prereview_only,
REC-KOREAMED-2536967,2536967,A1,Dose Selection of Non-Vitamin K Antagonist Oral Anticoagulants in Korean Patients with Non-Valvular Atrial Fibrillation,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,vitamin k,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2536967,agent_prereview_only,
REC-KOREAMED-2373642,2373642,A1,Clinical Pharmacogenetic Testing and Application: Laboratory Medicine Clinical Practice Guidelines,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2373642,agent_prereview_only,
REC-KOREAMED-2508178,2508178,A1,Perioperative outcomes of interrupted anticoagulation in patients with non-valvular atrial fibrillation undergoing non-cardiac surgery,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,coagulation,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2508178,agent_prereview_only,
REC-KOREAMED-2521066,2521066,A1,Lower dementia risk with anticoagulation and ablation in patients with atrial fibrillation,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,coagulation,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2521066,agent_prereview_only,
REC-KOREAMED-2532139,2532139,A1,Pharmacotherapy for pulmonary embolism: new anticoagulants,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2532139,agent_prereview_only,
REC-KOREAMED-2505374,2505374,A1,Concomitant Use of NSAIDs or SSRIs with NOACs Requires Monitoring for Bleeding,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,bleed,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2505374,agent_prereview_only,
REC-KOREAMED-2514634,2514634,A1,Prevention of Dementia in Patients with Atrial Fibrillation,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2514634,agent_prereview_only,
REC-KOREAMED-2581908,2581908,A1,"Erratum to “Concomitant Use of NSAIDs or SSRIs with NOACs Requires Monitoring for Bleeding” by Lee MT, et al. (Yonsei Med J 2020;61(9):741-749)",uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,bleed,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2581908,agent_prereview_only,
REC-KOREAMED-2515764,2515764,A1,Impact of Non-Vitamin K Antagonist Oral Anticoagulants on the Change of Antithrombotic Regimens in Patients with Atrial Fibrillation Undergoing Percutaneous Coronary Intervention,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,vitamin k,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2515764,agent_prereview_only,
REC-KOREAMED-2525372,2525372,A1,2021 Korean Heart Rhythm Society Guidelines for Catheter or Surgical Ablation of Atrial Fibrillation,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2525372,agent_prereview_only,
REC-KOREAMED-2578062,2578062,A1,Timing for the Resumption of Anticoagulants after Intracranial Hemorrhage,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,hemorrhage,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2578062,agent_prereview_only,
REC-KOREAMED-2501991,2501991,A1,A prospective survey of the persistence of warfarin or NOAC in nonvalvular atrial fibrillation: a COmparison study of Drugs for symptom control and complication prEvention of Atrial Fibrillation (CODE-AF),uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,warfarin,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2501991,agent_prereview_only,
REC-KOREAMED-2563795,2563795,A1,"The Efficacy and Safety of NOAC in Very Elderly Atrial Fibrillation Patients:
Data From the Korean National Health Insurance Cohort Registry",uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2563795,agent_prereview_only,
REC-KOREAMED-2536731,2536731,A1,Outcomes of On-Label Reduced-Dose Edoxaban in Patients With Atrial Fibrillation: The LEDIOS Registry,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2536731,agent_prereview_only,
REC-KOREAMED-2559703,2559703,A1,"Atrial fibrillation fact sheet in Korea 2024:
part 2—stroke prevention in Korean patients with atrial fibrillation",uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2559703,agent_prereview_only,
REC-KOREAMED-2527512,2527512,A1,Stroke and Systemic Thromboembolism according to CHA 2 DS 2 -VASc Score in Contemporary Korean Patients with Atrial Fibrillation,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2527512,agent_prereview_only,
REC-KOREAMED-2517492,2517492,A1,Percutaneous Left Atrial Appendage Occlusion Yields Favorable Neurological Outcomes in Patients with Non-Valvular Atrial Fibrillation,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2517492,agent_prereview_only,
