retrieval_id,record_id,question_id,nct_id,brief_title,overall_status,agent_recommendation,recommendation_reason,matched_population_terms,matched_exposure_terms,matched_outcome_terms,uncertainty_flags,registry_url,source_context_sha256,decision_authority,human_decision
RET-A1-CTGOV-NCT01285661,REC-CTGOV-NCT01285661,A1,NCT01285661,Optimal Duration of Anticoagulation in Deep Venous Thrombosis,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,thrombosis,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT01285661,791428e7d6cb0e153308626b6bd7481d3f298f373b05b098314319b1893777bb,agent_prereview_only,
RET-A1-CTGOV-NCT04344717,REC-CTGOV-NCT04344717,A1,NCT04344717,Pharmacokinetics of Apixaban in Patients With Short Bowel Syndrome Requiring Long Term Parenteral Nutrition,UNKNOWN,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT04344717,6e529815555bece60f00f4210c52738935e298d28eebc2eb854d0837b834c5c6,agent_prereview_only,
RET-A1-CTGOV-NCT04569279,REC-CTGOV-NCT04569279,A1,NCT04569279,Rivaroxaban vs. Warfarin in CVT Treatment,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,thrombosis,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT04569279,3ad0b70cef76803d03b55d3f7c8ba168cd5ef1465d43922dd2c685546098fce2,agent_prereview_only,
RET-A1-CTGOV-NCT01507051,REC-CTGOV-NCT01507051,A1,NCT01507051,Switching Study From Warfarin to Rivaroxaban,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,thrombosis,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT01507051,32731596b718a9610a13143b018cf22580ce99bd9eef97c9be67cd496b9c13b4,agent_prereview_only,
RET-A1-CTGOV-NCT02789917,REC-CTGOV-NCT02789917,A1,NCT02789917,APixaban vs. PhenpRocoumon in Patients With ACS and AF: APPROACH-ACS-AF,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,phenprocoumon,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT02789917,5d859f8d36c22156f18047ecf6dba643af4a915f69b76d0a442f17d2292e9259,agent_prereview_only,
RET-A1-CTGOV-NCT05643651,REC-CTGOV-NCT05643651,A1,NCT05643651,Rivaroxaban for Children Aged Over 2 Years With Giant Coronary Artery Aneurysms After Kawasaki Disease,RECRUITING,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT05643651,d75366bd81fc5ea265e69cb9b81584f0b1d4e54474d4495c6750238583844bd2,agent_prereview_only,
RET-A1-CTGOV-NCT03977363,REC-CTGOV-NCT03977363,A1,NCT03977363,The Portuguese Survey on Anticoagulated Patients Register (START-Portugal-Register),TERMINATED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,,,,known_query_lexical_risk|inactive_or_stopped,https://clinicaltrials.gov/study/NCT03977363,cb7192badad7a9bad9b95d9e2845dd1a528c559b93d382bab86cd4d6dce26f39,agent_prereview_only,
RET-A1-CTGOV-NCT03847181,REC-CTGOV-NCT03847181,A1,NCT03847181,Study to Learn More About the Benefits and Side-effects of Drugs Rivaroxaban and Apixaban Compared to the Drug Warfarin for Stroke Prevention in Patients With Rapid and Irregular Heartbeat Which is Not Due to a Heart-valve Fault (Non-valvular Atrial Fibrillation) in the UK Routine Clinical Practice,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT03847181,0c1b5c3e150dcddb47b6e5bf87e4306e40575e4cfe96a682549228791aeb4523,agent_prereview_only,
RET-A1-CTGOV-NCT04066764,REC-CTGOV-NCT04066764,A1,NCT04066764,Rivaroxaban and Vitamin K Antagonists for the Anticoagulation for the Implantation of Vena Cava Filters,UNKNOWN,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT04066764,bd32cd0a08938656ee5795346fa3d04a0e9d6d4429030743ed5ccf2b81f82f07,agent_prereview_only,
RET-A1-CTGOV-NCT02911545,REC-CTGOV-NCT02911545,A1,NCT02911545,Non-vitamin K Oral Anticoagulants in Cardioversion,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT02911545,1640e959062516cb59b43167763b2e3f288d08e0f618ae068cd798083b761751,agent_prereview_only,
RET-A1-CTGOV-NCT00905229,REC-CTGOV-NCT00905229,A1,NCT00905229,Comparing Different Routes and Doses of Phytonadione (Vitamin K) for Reversing Warfarin Treated Patients With Hip Fracture Before Surgery,WITHDRAWN,advance_to_human_registry_screening,질문별 노출과 안전성 결과 관련 구조화 신호가 함께 확인됩니다.,warfarin,phytonadione,bleeding,known_query_lexical_risk|inactive_or_stopped,https://clinicaltrials.gov/study/NCT00905229,e3a9d5b49f6c1de28203262e225d57de87e78f0d5ddea5691c7ce2304e5f8c81,agent_prereview_only,
RET-A1-CTGOV-NCT02319460,REC-CTGOV-NCT02319460,A1,NCT02319460,An Observational Cohort Study to Investigate the Risk of Thromboembolic Events in Patients Receiving Kcentra® or Plasma to Reverse Vitamin K Antagonist (VKA) Therapy in the Setting of Acute Major Bleeding,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,,,bleeding,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT02319460,3e88591e634c48134dcfa49d2281a33cdb8a0cd3d764d77f66717daa61611789,agent_prereview_only,
RET-A1-CTGOV-NCT02610933,REC-CTGOV-NCT02610933,A1,NCT02610933,Effect on Vascular Calcification of Replacing Warfarin by Rivaroxaban With or Without VitK2 in Hemodialysis Patients,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT02610933,64f3d96253429fc2f32a6e79597677ef4a4cbc5e4962fbcf5dac73ea1eb46c1e,agent_prereview_only,
RET-A1-CTGOV-NCT02735902,REC-CTGOV-NCT02735902,A1,NCT02735902,Anticoagulation Alone Versus Anticoagulation and Aspirin Following Transcatheter Aortic Valve Interventions (1:1),COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT02735902,3d755138271a11b4dbde58fef3629502c25d562db9854245c658e5bb48bb5a4a,agent_prereview_only,
RET-A1-CTGOV-NCT07658989,REC-CTGOV-NCT07658989,A1,NCT07658989,Optimizing Anticoagulation in Pregnancies With Mechanical Heart Valves,RECRUITING,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT07658989,8948d27ea907af2b51e69efc2827d94882fcde62948dbcfd0bf030ef700b97f3,agent_prereview_only,
RET-A1-CTGOV-NCT02227550,REC-CTGOV-NCT02227550,A1,NCT02227550,Apixaban During Atrial Fibrillation Catheter Ablation: Comparison to Vitamin K Antagonist Therapy,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT02227550,c8f07de4a059bf1652049e018a1d7b9accc3c2a486debb2e46f0751d18fcda22,agent_prereview_only,
RET-A1-CTGOV-NCT01250535,REC-CTGOV-NCT01250535,A1,NCT01250535,Human Cytochrome P450 4F Enzymes and Drug Interactions,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT01250535,8e0a1397c26fa3568f1fc0e0e6800fb734793c101374f385f60f31a5007c2c7d,agent_prereview_only,
RET-A1-CTGOV-NCT01042067,REC-CTGOV-NCT01042067,A1,NCT01042067,Safer Warfarin Treatment,SUSPENDED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,thrombosis,known_query_lexical_risk|inactive_or_stopped,https://clinicaltrials.gov/study/NCT01042067,e1fc2cc881f375097e97f3e31b23566d0657fc3817936e46d5f686b282857247,agent_prereview_only,
RET-A1-CTGOV-NCT03254147,REC-CTGOV-NCT03254147,A1,NCT03254147,Medical Need of OAC Reversal,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT03254147,c027c5c63dd7eadad3913f5629250309392d169d4bbce593454a219b54c70dcd,agent_prereview_only,
RET-A1-CTGOV-NCT02522221,REC-CTGOV-NCT02522221,A1,NCT02522221,Tecarfarin Anti-Coagulation Trial (TACT),UNKNOWN,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,coagulation|thrombosis,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT02522221,c5527fd42814d1da8e4503f8dd7e44955e25611198c4b5f63cca83fa015ca808,agent_prereview_only,
RET-A1-CTGOV-NCT05205863,REC-CTGOV-NCT05205863,A1,NCT05205863,Dose-Response in PD and Safety of Cofact Under VKA Anticoagulation,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT05205863,c8e4e254b890f4d7556afd9308f12df7eed64bcdfeb2e98d7e5c0e0279b8871d,agent_prereview_only,
RET-A1-CTGOV-NCT02464969,REC-CTGOV-NCT02464969,A1,NCT02464969,Apixaban for the Acute Treatment of Venous Thromboembolism in Children,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT02464969,945b36a8d0671ea67ae5514185d9fa9062067f3df0e1ed9596ab4c0b54e22546,agent_prereview_only,
RET-A1-CTGOV-NCT03799822,REC-CTGOV-NCT03799822,A1,NCT03799822,Oral Anticoagulation in Hemodialysis,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT03799822,a97807ae4dfc5f38190f154b879f585d03f0d09811fd487c019371b3b3cfbca3,agent_prereview_only,
RET-A1-CTGOV-NCT01034124,REC-CTGOV-NCT01034124,A1,NCT01034124,Mechanisms Underlying Drug-Diet Interactions,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT01034124,b95fd00eba77131eb6e34c69ac19d176488a56fb1ca88c0f9dd119378309baa9,agent_prereview_only,
RET-A1-CTGOV-NCT07639892,REC-CTGOV-NCT07639892,A1,NCT07639892,Antithrombotic Treatment Strategies in Cervical Artery Dissection,NOT_YET_RECRUITING,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT07639892,e8e01cbc93da87127a20d8dfe15283924fe188d90584e224c304532fdc433721,agent_prereview_only,
RET-A1-CTGOV-NCT04437303,REC-CTGOV-NCT04437303,A1,NCT04437303,Periprocedural Continuation Versus Interruption of Oral Anticoagulant Drugs During Transcatheter Aortic Valve Implantation (POPular PAUSE TAVI),COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,,,bleeding|thrombosis,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT04437303,ea44e2385264fd2c55177102153ea2d629df92a2d7e01bc58438627520b2a392,agent_prereview_only,
RET-A1-CTGOV-NCT01348074,REC-CTGOV-NCT01348074,A1,NCT01348074,Reinitiation of Anticoagulation After Temporary Withdrawal of Vitamin K Antagonist,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT01348074,7be070e1578b216a36db50d287d0945f97f4f814aed43b71e3adb521fb2999c9,agent_prereview_only,
RET-A1-CTGOV-NCT04258488,REC-CTGOV-NCT04258488,A1,NCT04258488,Long-term Anticoagulation With Oral Factor Xa Inhibitor Versus Vitamin K Antagonist After Mechanical Aortic Valve Replacement,RECRUITING,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT04258488,e9210cbe1047236f16fa663f362bbd3e489764986ea7d3f95a431ae04ee45d2f,agent_prereview_only,
RET-A1-CTGOV-NCT02072434,REC-CTGOV-NCT02072434,A1,NCT02072434,Edoxaban vs. Warfarin in Subjects Undergoing Cardioversion of Nonvalvular Atrial Fibrillation (NVAF),COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT02072434,77e6ba0be9d3b0bc4fbdecd235e8b268233c7a0b0ec46045c13c59da5780f567,agent_prereview_only,
RET-A1-CTGOV-NCT06692504,REC-CTGOV-NCT06692504,A1,NCT06692504,Adverse Drug Events in Patients on Oral Anticoagulation in the Emergency Department,RECRUITING,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,,,thrombosis,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT06692504,7da3d6943d5a016d25b0d68316860160454d03146743a1ed124d3c6368dc8f7e,agent_prereview_only,
RET-A1-CTGOV-NCT00928915,REC-CTGOV-NCT00928915,A1,NCT00928915,International Normalized Ratio (INR) Normalization in Coumadin Associated Intracerebral Haemorrhage,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,,,inr,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT00928915,b8ab1e7ddf21a34923f07b7324e6059a437bd020375d933bea70d84b2f2d81f3,agent_prereview_only,
RET-A1-CTGOV-NCT00794755,REC-CTGOV-NCT00794755,A1,NCT00794755,Low Dose Supplementation to Improve Anticoagulation Control With Oral Vitamin K as an Adjuvant to Warfarin Therapy,COMPLETED,advance_to_human_registry_screening,질문별 노출과 안전성 결과 관련 구조화 신호가 함께 확인됩니다.,warfarin,vitamin k1|phytonadione,coagulation,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT00794755,58909c7291441062df5165e545a9104085e3419c3ff0dde5bd4065498300d2f0,agent_prereview_only,
RET-A1-CTGOV-NCT07330869,REC-CTGOV-NCT07330869,A1,NCT07330869,Warfarin Effects on Male Fertility After Cardiac Surgery,NOT_YET_RECRUITING,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT07330869,d363c3b22ff8f8a6d4679a64f2e503e0a61ad84a6997512037c416273ac0b41b,agent_prereview_only,
RET-A1-CTGOV-NCT05006287,REC-CTGOV-NCT05006287,A1,NCT05006287,The Safety of Non-vitamin K Oral Anticoagulants Compared to Warfarin Early After Cardiac Surgery,UNKNOWN,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT05006287,aa87d602497c37ae499d3229b1342dd0b90ef2148f19e0a34527ccf28a6bd4c5,agent_prereview_only,
RET-A1-CTGOV-NCT04195113,REC-CTGOV-NCT04195113,A1,NCT04195113,Perioperative Anticoagulant Use for Surgery Evaluation Emergency Registry,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT04195113,318621c8fb6d4aa0f39b55c37aae530b03e98abcf02e764fd58d92f81b17e787,agent_prereview_only,
RET-A1-CTGOV-NCT03232398,REC-CTGOV-NCT03232398,A1,NCT03232398,Apixaban Versus Warfarin in Patients With Left Ventricular (LV) Thrombus,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,bleeding|thrombosis,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT03232398,1421db78a0fb6838824c86b23b2f7c29543ebd7cf5881f89d5dcf6f854bd1b64,agent_prereview_only,
RET-A1-CTGOV-NCT06648837,REC-CTGOV-NCT06648837,A1,NCT06648837,Microvisk Continuous Blood Donation Study,NOT_YET_RECRUITING,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,,,inr|thrombosis,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT06648837,bca53fce078bc8236504ccfbe9fc99c0399b9bca135d23dbae9b8944065190ea,agent_prereview_only,
RET-A1-CTGOV-NCT07515664,REC-CTGOV-NCT07515664,A1,NCT07515664,Vitamin K for Perioperative Warfarin Management,RECRUITING,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,inr,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT07515664,ad19a5e818b51d766d739d00e9e184196ce3920295d0c4919d2df97f1ec5a57e,agent_prereview_only,
RET-A1-CTGOV-NCT02740712,REC-CTGOV-NCT02740712,A1,NCT02740712,Pharmacokinetic Drug-Drug Interaction Study of Rucaparib,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT02740712,e90d75e97761eec0e2b4d82d7f551091c50e3333966baebb87ff4329250ac799,agent_prereview_only,
RET-A1-CTGOV-NCT02618577,REC-CTGOV-NCT02618577,A1,NCT02618577,Non-vitamin K Antagonist Oral Anticoagulants in Patients With Atrial High Rate Episodes,TERMINATED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,,,,known_query_lexical_risk|inactive_or_stopped,https://clinicaltrials.gov/study/NCT02618577,111d76926b62ad1e4feab2432b015016a65c2b40ccda96435e870aae78adbda4,agent_prereview_only,
RET-A1-CTGOV-NCT00070655,REC-CTGOV-NCT00070655,A1,NCT00070655,Evaluating the Use of SR34006 Compared to Warfarin or Acenocoumarol in Patients With Atrial Fibrillation (AMADEUS),COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin|acenocoumarol,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT00070655,45fde506eacb0fea38f532733232bddd431a579d2ccddd8dd5c5a8e4ff3a81c6,agent_prereview_only,
RET-A1-CTGOV-NCT01474460,REC-CTGOV-NCT01474460,A1,NCT01474460,Use of Phytonadione to Reduce International Normalized Ratio (INR) Variability in Patients on Long-term Warfarin Therapy,COMPLETED,advance_to_human_registry_screening,질문별 노출과 안전성 결과 관련 구조화 신호가 함께 확인됩니다.,warfarin,phytonadione,inr|coagulation,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT01474460,96e9b338e4801b2ea733107dde8dcf2bc2210757f042ed12ea385218a7ac7be4,agent_prereview_only,
RET-A1-CTGOV-NCT06138184,REC-CTGOV-NCT06138184,A1,NCT06138184,Learning Theory Patient Education for Anticoagulants,NOT_YET_RECRUITING,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT06138184,cb5101e0e3cda01c1015ab5405096f492b1b73f8dc6424fc188535f3f44b4002,agent_prereview_only,
