link_candidate_id,nct_id,registry_record_id,pmid,pubmed_record_id,reference_type,registry_question_ids,registry_title,pubmed_title,pubmed_doi,agent_recommendation,recommendation_reason,pubmed_in_search_corpus,source_context_sha256,decision_authority,human_link_decision,verified_by,verified_at
LINK-CTGOV-NCT00143715-PMID-11560452,NCT00143715,REC-CTGOV-NCT00143715,11560452,REC-PUBMED-11560452,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,Clinical predictors of prolonged delay in return of the international normalized ratio to within the therapeutic range after excessive anticoagulation with warfarin.,10.7326/0003-4819-135-6-200109180-00008,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,f058807ca0406a3366a6d7c15650247396c82ed1d3451d744e36d4008dc884ec,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-11706908,NCT00143715,REC-CTGOV-NCT00143715,11706908,REC-PUBMED-11706908,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,b48d7806ff31d852f1dbeccd4a74117fa1fb8dd11d77b1694f82b1919dd0ae3f,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-11722425,NCT00143715,REC-CTGOV-NCT00143715,11722425,REC-PUBMED-11722425,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,A comparison of the efficacy and rate of response to oral and intravenous Vitamin K in reversal of over-anticoagulation with warfarin.,10.1046/j.1365-2141.2001.03070.x,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,c22307c48d8ebed1b008816fbfd3206784e477f2d840774f7d61ba03a47881ee,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-12133163,NCT00143715,REC-CTGOV-NCT00143715,12133163,REC-PUBMED-12133163,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,04bf5f5cabeb10d33f3f30176208ab501bb35f823f3cdb64073551dc35811163,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-12152676,NCT00143715,REC-CTGOV-NCT00143715,12152676,REC-PUBMED-12152676,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,Low dose oral vitamin K to reverse acenocoumarol-induced coagulopathy: a randomized controlled trial.,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,13bec265552449b744f4c5bcdf42f701dae8a74c82629a6396193aa1acdb5873,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-12186515,NCT00143715,REC-CTGOV-NCT00143715,12186515,REC-PUBMED-12186515,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,"Oral vitamin K lowers the international normalized ratio more rapidly than subcutaneous vitamin K in the treatment of warfarin-associated coagulopathy. A randomized, controlled trial.",10.7326/0003-4819-137-4-200208200-00009,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,956fef37cb701c0149819f57fa6ee6381c077290006a5a1cf960de4848a7dd48,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-12196089,NCT00143715,REC-CTGOV-NCT00143715,12196089,REC-PUBMED-12196089,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,A survey of oral vitamin K use by anticoagulation clinics.,10.1001/archinte.162.16.1893,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,1d7b12c88f5c740460b7d859458d95669b3f5178a31f13597c8280ddef7c75de,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-12424167,NCT00143715,REC-CTGOV-NCT00143715,12424167,REC-PUBMED-12424167,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,c27938d3c063d332875a633a2713b506e00b3fd22d5d4969353ea4e91a9c7c84,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-12557411,NCT00143715,REC-CTGOV-NCT00143715,12557411,REC-PUBMED-12557411,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,Reversing anticoagulants both old and new.,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,ae1de7bf465d7e3aa70d06a97728c1aa356b421d3cf965eac5e4aa67e753981b,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-14993179,NCT00143715,REC-CTGOV-NCT00143715,14993179,REC-PUBMED-14993179,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,Low-dose oral vitamin K therapy for the management of asymptomatic patients with elevated international normalized ratios: a brief review.,10.1503/cmaj.1030478,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,34edc97ed3d05032ec8f8f56f7585f23d5350e68bc647e0d4e8c42f83c3f0b94,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-2757055,NCT00143715,REC-CTGOV-NCT00143715,2757055,REC-PUBMED-2757055,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,0630371828e2b2808e96b1e3733799e265cb16814dec3f202929d821d8fc191b,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-2787958,NCT00143715,REC-CTGOV-NCT00143715,2787958,REC-PUBMED-2787958,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,7303430a72653720ab77489be5b97ffc8abc016bbde5e3f5410a0c0900c9ea42,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-8239230,NCT00143715,REC-CTGOV-NCT00143715,8239230,REC-PUBMED-8239230,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,9f45028900c5dafa35df92d326332352c8c8251978266e62b52928bd35b91f23,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-8368229,NCT00143715,REC-CTGOV-NCT00143715,8368229,REC-PUBMED-8368229,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,dd26f8d631e46053a07cdf0db5f7bdd7e55a771602b1a09874af27112ba7bdcb,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-9508231,NCT00143715,REC-CTGOV-NCT00143715,9508231,REC-PUBMED-9508231,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,99eb00ecb46debcb4b6fa4ddf69132899541da2c1da1ac9c5f813bf793b87bf4,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-9657434,NCT00143715,REC-CTGOV-NCT00143715,9657434,REC-PUBMED-9657434,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,Low-dose oral vitamin K reliably reverses over-anticoagulation due to warfarin.,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,7a6eec557078dbdd2a0047a30fd34b58c9708321a821e982abc40f332bd4c1c2,agent_prereview_only,,,
LINK-CTGOV-NCT00232232-PMID-21232631,NCT00232232,REC-CTGOV-NCT00232232,21232631,REC-PUBMED-21232631,DERIVED,A2,Use of Fish Oils to Prevent Atrial Mechanical Stunning and Atrial Remodeling Due to Atrial Arrhythmia,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,e6430b78ed932e79eb20bc1584ba548a1c4b86aa138c471c41c9d448393ea7b3,agent_prereview_only,,,
LINK-CTGOV-NCT00232245-PMID-23890856,NCT00232245,REC-CTGOV-NCT00232245,23890856,REC-PUBMED-23890856,DERIVED,A2,Use of Fish Oils to Reduce the Frequency and Duration of Episodes of Atrial Fibrillation in Patients With Paroxysmal Atrial Fibrillation.,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,38382afd59ca677962fda89589cb993a4d98ef71534a828348eb03607cf16a35,agent_prereview_only,,,
LINK-CTGOV-NCT00264277-PMID-11848459,NCT00264277,REC-CTGOV-NCT00264277,11848459,REC-PUBMED-11848459,BACKGROUND,A1,D-dimer to Establish Duration of Anticoagulation After Venous Thromboembolism,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,4cecc1ecf993f5c3ae07fac804aae1a51b7615dea0f1ec538c2141aa8190be6a,agent_prereview_only,,,
LINK-CTGOV-NCT00264277-PMID-12847064,NCT00264277,REC-CTGOV-NCT00264277,12847064,REC-PUBMED-12847064,BACKGROUND,A1,D-dimer to Establish Duration of Anticoagulation After Venous Thromboembolism,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,37f3fbdc77375f694f702eedc8a1c7ddabc60f50f75a1ce6211420ce954220ba,agent_prereview_only,,,
LINK-CTGOV-NCT00264277-PMID-12941680,NCT00264277,REC-CTGOV-NCT00264277,12941680,REC-PUBMED-12941680,BACKGROUND,A1,D-dimer to Establish Duration of Anticoagulation After Venous Thromboembolism,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,77d518eceee7aad25337988362cc1a62f213a26a7b699282a940b4da50854355,agent_prereview_only,,,
LINK-CTGOV-NCT00264277-PMID-17065639,NCT00264277,REC-CTGOV-NCT00264277,17065639,REC-PUBMED-17065639,RESULT,A1,D-dimer to Establish Duration of Anticoagulation After Venous Thromboembolism,D-dimer testing to determine the duration of anticoagulation therapy.,10.1056/nejmoa054444,strong_link_candidate_needs_validation,등록자료의 결과 참고문헌으로 명시되어 해당 임상시험 보고서일 가능성이 높습니다.,true,09f5ea0ff9c88263c4d5e4df833ac3c7313725777974ab90171a4ba6d2a9b59f,agent_prereview_only,,,
LINK-CTGOV-NCT00264277-PMID-20352167,NCT00264277,REC-CTGOV-NCT00264277,20352167,REC-PUBMED-20352167,DERIVED,A1,D-dimer to Establish Duration of Anticoagulation After Venous Thromboembolism,"Comorbidities, alone and in combination with D-dimer, as risk factors for recurrence after a first episode of unprovoked venous thromboembolism in the extended follow-up of the PROLONG study.",10.1160/th09-11-0759,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,true,c09fae3edd9ccfb6baf3502eb78fa6ac08a9de6b19233c7966e5c0bee932c499,agent_prereview_only,,,
LINK-CTGOV-NCT00264277-PMID-20553388,NCT00264277,REC-CTGOV-NCT00264277,20553388,REC-PUBMED-20553388,DERIVED,A1,D-dimer to Establish Duration of Anticoagulation After Venous Thromboembolism,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,e3eccbd3c1cc7b2f4d53e32591598faaf41eb9fc10195ae58532891d8f54abae,agent_prereview_only,,,
LINK-CTGOV-NCT00264277-PMID-23306310,NCT00264277,REC-CTGOV-NCT00264277,23306310,REC-PUBMED-23306310,DERIVED,A1,D-dimer to Establish Duration of Anticoagulation After Venous Thromboembolism,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,030d543734e457cd1c5f2ba4f6e30d296181a549faf965e66b0e8316cb02c025,agent_prereview_only,,,
LINK-CTGOV-NCT00266045-PMID-17940483,NCT00266045,REC-CTGOV-NCT00266045,17940483,REC-PUBMED-17940483,DERIVED,A1,D-dimer Levels During and After Anticoagulation in Patients With a Previous Venous Thromboembolism: Effects on the Risk of Recurrence,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,e5d11d1fd03621628cda4fdf5e765fa62d94f7c725f19694b1b3739db4ffc580,agent_prereview_only,,,
LINK-CTGOV-NCT00266045-PMID-19965693,NCT00266045,REC-CTGOV-NCT00266045,19965693,REC-PUBMED-19965693,DERIVED,A1,D-dimer Levels During and After Anticoagulation in Patients With a Previous Venous Thromboembolism: Effects on the Risk of Recurrence,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,4f8777bf1580f3f2c208c6b641ee005bdbe41729a435cef11839bb6154cd1c94,agent_prereview_only,,,
LINK-CTGOV-NCT00266045-PMID-23306310,NCT00266045,REC-CTGOV-NCT00266045,23306310,REC-PUBMED-23306310,DERIVED,A1,D-dimer Levels During and After Anticoagulation in Patients With a Previous Venous Thromboembolism: Effects on the Risk of Recurrence,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,38bc5d8d6e0f82980a79388720690205949043e7f71d772056ff25dcbc903bd2,agent_prereview_only,,,
LINK-CTGOV-NCT00355290-PMID-19738137,NCT00355290,REC-CTGOV-NCT00355290,19738137,REC-PUBMED-19738137,DERIVED,A1,Changes in Oral Vitamin K Intake for Optimization of Chronic Oral Anticoagulation: A Randomized Trial,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,113b1cff829ed3dee33057e51443a807b830675fef2f00ae997155f9df7635d0,agent_prereview_only,,,
LINK-CTGOV-NCT00402363-PMID-19619690,NCT00402363,REC-CTGOV-NCT00402363,19619690,REC-PUBMED-19619690,DERIVED,A2,"Evaluation of Efficacy and Safety of Lovaza (Omega-3-Acid Ethyl Esters) in Recurrent, Symptomatic Atrial Fibrillation",,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,967a2c36677820b4ce223be635a446dca92248a976231d511f96ff40a2a225ea,agent_prereview_only,,,
LINK-CTGOV-NCT00402363-PMID-21078810,NCT00402363,REC-CTGOV-NCT00402363,21078810,REC-PUBMED-21078810,RESULT,A2,"Evaluation of Efficacy and Safety of Lovaza (Omega-3-Acid Ethyl Esters) in Recurrent, Symptomatic Atrial Fibrillation",,,strong_link_candidate_needs_validation,등록자료의 결과 참고문헌으로 명시되어 해당 임상시험 보고서일 가능성이 높습니다.,false,f9a2dc57117917c78d420a393be4a0f78dd598d5d3cb96f53dc0b108457023d7,agent_prereview_only,,,
LINK-CTGOV-NCT00410020-PMID-11458289,NCT00410020,REC-CTGOV-NCT00410020,11458289,REC-PUBMED-11458289,BACKGROUND,A2,Arrhythmia Prevention With an Alpha-Linolenic Enriched Diet,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,b9fb0df4d0da24b2da85ccf3eb49b38d39dd421554928f1f987f2145ba462e86,agent_prereview_only,,,
LINK-CTGOV-NCT00410020-PMID-11935975,NCT00410020,REC-CTGOV-NCT00410020,11935975,REC-PUBMED-11935975,BACKGROUND,A2,Arrhythmia Prevention With an Alpha-Linolenic Enriched Diet,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,c5ea836bd45a9a0e87c26aaf5ef88738208c540534cbb68ba497551b41f67d16,agent_prereview_only,,,
LINK-CTGOV-NCT00410020-PMID-12324307,NCT00410020,REC-CTGOV-NCT00410020,12324307,REC-PUBMED-12324307,BACKGROUND,A2,Arrhythmia Prevention With an Alpha-Linolenic Enriched Diet,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,40e349b6cadf22b44d720a84f053c7b9c77b957eb1ac493f8c5e4748a5cdc8f3,agent_prereview_only,,,
LINK-CTGOV-NCT00410020-PMID-12433513,NCT00410020,REC-CTGOV-NCT00410020,12433513,REC-PUBMED-12433513,BACKGROUND,A2,Arrhythmia Prevention With an Alpha-Linolenic Enriched Diet,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,f5851e36a40465f661102b3a3c8da030ab07e66d1e3d434beea6ff7a7daba7f3,agent_prereview_only,,,
LINK-CTGOV-NCT00410020-PMID-12450919,NCT00410020,REC-CTGOV-NCT00410020,12450919,REC-PUBMED-12450919,BACKGROUND,A2,Arrhythmia Prevention With an Alpha-Linolenic Enriched Diet,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,fb05d69239a91cbd63d4c29714a578d6c1a898ff83c69f23f6fed79376b51595,agent_prereview_only,,,
LINK-CTGOV-NCT00410020-PMID-6133188,NCT00410020,REC-CTGOV-NCT00410020,6133188,REC-PUBMED-6133188,BACKGROUND,A2,Arrhythmia Prevention With an Alpha-Linolenic Enriched Diet,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,83894aa80081d6c12c1ad339c0906e41335e6fadd45f65242c40aaac7d17734e,agent_prereview_only,,,
LINK-CTGOV-NCT00410020-PMID-7722678,NCT00410020,REC-CTGOV-NCT00410020,7722678,REC-PUBMED-7722678,BACKGROUND,A2,Arrhythmia Prevention With an Alpha-Linolenic Enriched Diet,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,41346f5eeb2ec2590fab9f2a1ab9485cd33f938daa67fe523a8a1a8e700e3629,agent_prereview_only,,,
LINK-CTGOV-NCT00410020-PMID-7754988,NCT00410020,REC-CTGOV-NCT00410020,7754988,REC-PUBMED-7754988,BACKGROUND,A2,Arrhythmia Prevention With an Alpha-Linolenic Enriched Diet,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,8ef941ae0e081211c99984afc2bb14a85092b32efa80f31d659032527ccd27a7,agent_prereview_only,,,
LINK-CTGOV-NCT00410020-PMID-7911176,NCT00410020,REC-CTGOV-NCT00410020,7911176,REC-PUBMED-7911176,BACKGROUND,A2,Arrhythmia Prevention With an Alpha-Linolenic Enriched Diet,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,e032d703f70d01d991dd43de39a93d8cb843995ae21e373fa75de2b23ca0af09,agent_prereview_only,,,
LINK-CTGOV-NCT00410020-PMID-8851173,NCT00410020,REC-CTGOV-NCT00410020,8851173,REC-PUBMED-8851173,BACKGROUND,A2,Arrhythmia Prevention With an Alpha-Linolenic Enriched Diet,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,1b739bf6bb56da427da63b4aacf08ba781f24129d0fab14a798c7038a2e28d87,agent_prereview_only,,,
LINK-CTGOV-NCT00446966-PMID-23130134,NCT00446966,REC-CTGOV-NCT00446966,23130134,REC-PUBMED-23130134,DERIVED,A2,Fish Oil for Reduction of Atrial Fibrillation After Cardiac Surgery,,,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,false,690b6e573aa688990d889e924518bded19b9ee661f93a9bde93fdcf2b4c48388,agent_prereview_only,,,
LINK-CTGOV-NCT00472823-PMID-15797954,NCT00472823,REC-CTGOV-NCT00472823,15797954,REC-PUBMED-15797954,BACKGROUND,B1|B2,Vitamin D Supplementation in Older Women,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,2527d19665fe7ed85e7aaa2d5b61dda96504b5ab68f3ffea793d696fdf872ae1,agent_prereview_only,,,
