review_id,platform,question_id,query,observed_hits,response_file,response_sha256,review_focus,allowed_decisions,reviewer_id,reviewed_at,decision,comments,required_revision,status
PRESS-KR-KMBASE-06,KMbase,A2,warfarin fish oil,0,research/searches/korean_db_split_designpilot_20260710/raw/kmbase/06_A2_warfarin_fish_oil.json,3c985164b4f86554f5a680a2b4617db6ad78758cd5347c92768b9891b4cc8e5b,critical: zero-hit recall; verify platform semantics and known-item retrieval; do not infer absence,approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-RISS-06,RISS,A2,warfarin fish oil,4,research/searches/korean_db_split_designpilot_20260710/raw/riss/06_A2_warfarin_fish_oil.html.gz,ec96293b932aa1251ca727cb2bec384915687de85ccdf947f637edb7504fc1a5,"verify concept mapping, implicit operator, phrase behavior, overlap, and known-item retrieval",approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-KMBASE-07,KMbase,A2,anticoagulant omega-3,0,research/searches/korean_db_split_designpilot_20260710/raw/kmbase/07_A2_anticoagulant_omega_3.json,67e2c4a82de7d9cc85aff0ff134c414993b0fe51a8f34bee9cec5ca6af537957,critical: zero-hit recall; verify platform semantics and known-item retrieval; do not infer absence,approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-RISS-07,RISS,A2,anticoagulant omega-3,5,research/searches/korean_db_split_designpilot_20260710/raw/riss/07_A2_anticoagulant_omega_3.html.gz,05bc6ea0c6a2dcffb8bf7e1855ea95d8b958b22492ec098a14063b917f9f9461,"verify concept mapping, implicit operator, phrase behavior, overlap, and known-item retrieval",approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-KMBASE-08,KMbase,A2,항응고제 오메가-3,0,research/searches/korean_db_split_designpilot_20260710/raw/kmbase/08_A2_항응고제_오메가_3.json,b0aa833ff64a062ddd8ba18013c17f4976755e88543f07e6a25899d985551871,critical: zero-hit recall; verify platform semantics and known-item retrieval; do not infer absence,approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-RISS-08,RISS,A2,항응고제 오메가-3,1,research/searches/korean_db_split_designpilot_20260710/raw/riss/08_A2_항응고제_오메가_3.html.gz,50ecbdb43634c3f4745ddaea5bf32d2dd5a99a67a81a6c1b767fa9e5ee3004cd,"verify concept mapping, implicit operator, phrase behavior, overlap, and known-item retrieval",approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-KMBASE-09,KMbase,B1,kidney stone calcium supplement,0,research/searches/korean_db_split_designpilot_20260710/raw/kmbase/09_B1_kidney_stone_calcium_supplement.json,790cc40389b6257061ebe130467f87c43dff4b67ff150db58f43b557f5c8308b,critical: zero-hit recall; verify platform semantics and known-item retrieval; do not infer absence,approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-RISS-09,RISS,B1,kidney stone calcium supplement,28,research/searches/korean_db_split_designpilot_20260710/raw/riss/09_B1_kidney_stone_calcium_supplement.html.gz,bb64f2ac336b36030d2e2c0fb502b0705860081feac97c7fff4afa74647b66c7,"verify concept mapping, implicit operator, phrase behavior, overlap, and known-item retrieval",approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-KMBASE-10,KMbase,B1,nephrolithiasis calcium supplement,0,research/searches/korean_db_split_designpilot_20260710/raw/kmbase/10_B1_nephrolithiasis_calcium_supplement.json,619b1f137b2d82badaa3ef44d5b1ff643907adcd728a518230d954c71023a54b,critical: zero-hit recall; verify platform semantics and known-item retrieval; do not infer absence,approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-RISS-10,RISS,B1,nephrolithiasis calcium supplement,15,research/searches/korean_db_split_designpilot_20260710/raw/riss/10_B1_nephrolithiasis_calcium_supplement.html.gz,1ba9cccba0ef50caf0b24d5ccb1b956edce2ea65c6d89a0f5340719d75aa2b8b,"verify concept mapping, implicit operator, phrase behavior, overlap, and known-item retrieval",approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-KMBASE-11,KMbase,B1,요로결석 칼슘 보충제,0,research/searches/korean_db_split_designpilot_20260710/raw/kmbase/11_B1_요로결석_칼슘_보충제.json,13534e5aa988d38f505aaae8ff97caa2e08f1783f6327defaaea6f3132ea7fd5,critical: zero-hit recall; verify platform semantics and known-item retrieval; do not infer absence,approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-RISS-11,RISS,B1,요로결석 칼슘 보충제,6,research/searches/korean_db_split_designpilot_20260710/raw/riss/11_B1_요로결석_칼슘_보충제.html.gz,64528812e750e6cc229fadb5f9f0df7246ce5091f12a4958a00d2cd254fe9fbe,"verify concept mapping, implicit operator, phrase behavior, overlap, and known-item retrieval",approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-KMBASE-12,KMbase,B1,신결석 칼슘 보충제,0,research/searches/korean_db_split_designpilot_20260710/raw/kmbase/12_B1_신결석_칼슘_보충제.json,7958a339fd08355a53f506d49d9d095d3eeccc5d4498f8ef0c20f0e6a7b377eb,critical: zero-hit recall; verify platform semantics and known-item retrieval; do not infer absence,approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-RISS-12,RISS,B1,신결석 칼슘 보충제,1,research/searches/korean_db_split_designpilot_20260710/raw/riss/12_B1_신결석_칼슘_보충제.html.gz,e563253ba23ce6e4b5994c746767673d8fde83b0f2b545f3cf91310dc7f10ee9,"verify concept mapping, implicit operator, phrase behavior, overlap, and known-item retrieval",approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-KMBASE-13,KMbase,B2,kidney stone vitamin D,0,research/searches/korean_db_split_designpilot_20260710/raw/kmbase/13_B2_kidney_stone_vitamin_D.json,1b3021837500cca248f1cde0d672ea8050c0542cbf0ec49596ab84f8fce1f3cb,critical: zero-hit recall; verify platform semantics and known-item retrieval; do not infer absence,approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-RISS-13,RISS,B2,kidney stone vitamin D,98,research/searches/korean_db_split_designpilot_20260710/raw/riss/13_B2_kidney_stone_vitamin_D.html.gz,fa2989ab251ca2d67c63e95b1d13210ffea9708421b062288a9668c0568d6042,"verify concept mapping, implicit operator, phrase behavior, overlap, and known-item retrieval",approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-KMBASE-14,KMbase,B2,nephrolithiasis cholecalciferol,0,research/searches/korean_db_split_designpilot_20260710/raw/kmbase/14_B2_nephrolithiasis_cholecalciferol.json,6999b0e4418734bde71888a674b706d8f3ad57d60f6697f84f7cc24a5328fd2c,critical: zero-hit recall; verify platform semantics and known-item retrieval; do not infer absence,approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-RISS-14,RISS,B2,nephrolithiasis cholecalciferol,0,research/searches/korean_db_split_designpilot_20260710/raw/riss/14_B2_nephrolithiasis_cholecalciferol.html.gz,de23c30eb25f52f2b30d0e3ad9fc6438b3dbf254cc48ad18c53c7521d9a3f51d,"verify concept mapping, implicit operator, phrase behavior, overlap, and known-item retrieval",approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-KMBASE-15,KMbase,B2,요로결석 비타민 D,0,research/searches/korean_db_split_designpilot_20260710/raw/kmbase/15_B2_요로결석_비타민_D.json,d50c74394a7921406a7745cbef3f7c424cbf093c5787d058f3bae35f9507ecea,critical: zero-hit recall; verify platform semantics and known-item retrieval; do not infer absence,approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-RISS-15,RISS,B2,요로결석 비타민 D,154,research/searches/korean_db_split_designpilot_20260710/raw/riss/15_B2_요로결석_비타민_D.html.gz,92367c74ed8171fa850950a1d75c4d891a8f95b73172f5b177c054d7b524594c,"verify concept mapping, implicit operator, phrase behavior, overlap, and known-item retrieval",approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-KMBASE-16,KMbase,B2,신결석 비타민 D,0,research/searches/korean_db_split_designpilot_20260710/raw/kmbase/16_B2_신결석_비타민_D.json,6c7e2f7044cd84a8b9c751116f40810873207ce7376e390eb922a5e1fa6a9f41,critical: zero-hit recall; verify platform semantics and known-item retrieval; do not infer absence,approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-RISS-16,RISS,B2,신결석 비타민 D,86,research/searches/korean_db_split_designpilot_20260710/raw/riss/16_B2_신결석_비타민_D.html.gz,ef9af1529d394d07db1a735cf5a7d8cab039e902e06d0894e53391018a0a68fe,"verify concept mapping, implicit operator, phrase behavior, overlap, and known-item retrieval",approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-KMBASE-17,KMbase,B3,kidney stone vitamin C,0,research/searches/korean_db_split_designpilot_20260710/raw/kmbase/17_B3_kidney_stone_vitamin_C.json,cf445fb03c39dd201d61fa41ccc4188280ec735c3da1e5758de81d2b941936ed,critical: zero-hit recall; verify platform semantics and known-item retrieval; do not infer absence,approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-RISS-17,RISS,B3,kidney stone vitamin C,98,research/searches/korean_db_split_designpilot_20260710/raw/riss/17_B3_kidney_stone_vitamin_C.html.gz,8d3a1a3e62ed1e404774ca2cae2157b5b3dd3028f416c80e75147f74e9f32a33,"verify concept mapping, implicit operator, phrase behavior, overlap, and known-item retrieval",approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-KMBASE-18,KMbase,B3,nephrolithiasis ascorbic acid,0,research/searches/korean_db_split_designpilot_20260710/raw/kmbase/18_B3_nephrolithiasis_ascorbic_acid.json,74c9f5f7dbb281951cf6a6e3ff367d61ed260c3f33237e7df2b5ab07bf608697,critical: zero-hit recall; verify platform semantics and known-item retrieval; do not infer absence,approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-RISS-18,RISS,B3,nephrolithiasis ascorbic acid,4,research/searches/korean_db_split_designpilot_20260710/raw/riss/18_B3_nephrolithiasis_ascorbic_acid.html.gz,fbf0dc698966f64a7a7678092b49cbe68e9947f58ae2aebf72ead3124b297199,"verify concept mapping, implicit operator, phrase behavior, overlap, and known-item retrieval",approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-KMBASE-19,KMbase,B3,요로결석 비타민 C,0,research/searches/korean_db_split_designpilot_20260710/raw/kmbase/19_B3_요로결석_비타민_C.json,c2aea0a5ec7c6bdf8715cdbfabd62cf9d09fb394037aa3038b3a5c0e9312e5f7,critical: zero-hit recall; verify platform semantics and known-item retrieval; do not infer absence,approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-RISS-19,RISS,B3,요로결석 비타민 C,154,research/searches/korean_db_split_designpilot_20260710/raw/riss/19_B3_요로결석_비타민_C.html.gz,6af553b39fed42aec8a82575fc4e9974a5d170a7db841d943805d39113c4a5fb,"verify concept mapping, implicit operator, phrase behavior, overlap, and known-item retrieval",approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-KMBASE-20,KMbase,B3,신결석 비타민 C,0,research/searches/korean_db_split_designpilot_20260710/raw/kmbase/20_B3_신결석_비타민_C.json,6624d93b42f473ca6e147a45474bc9eab25b1a0ee1d9fbce86e9f86164f8ede9,critical: zero-hit recall; verify platform semantics and known-item retrieval; do not infer absence,approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-RISS-20,RISS,B3,신결석 비타민 C,86,research/searches/korean_db_split_designpilot_20260710/raw/riss/20_B3_신결석_비타민_C.html.gz,a7f0d67998a1571da9efc1092ca83a44c94c5aac9b5490ff520de980b6e0b3ca,"verify concept mapping, implicit operator, phrase behavior, overlap, and known-item retrieval",approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
