record_id,pmid,question_id,title,priority_tier,priority_reason,core_candidate,study_design_signal,dose_observed,dose_extracted,public_fulltext_locator,evidence_locator,duplicate_cluster_ids,source_record_sha256,decision_authority,human_eligibility_decision,rob_completed,grade_completed,systematic_review_inclusion_claim
REC-PUBMED-16305294,16305294,A1,Low-dose vitamin K to augment anticoagulation control.,tier_2_core_locator_needed,핵심 직접근거 후보이나 공개 원문 위치 확인이 필요합니다.,true,include_candidate_design_unclear,false,,,"ABSTRACT: Low-dose vitamin K to augment anticoagulation control.. | STUDY OBJECTIVES: To determine the effect of daily low-dose oral vitamin K supplementation on reducing variations in the international normalized ratios (INRs) in patients taking warfarin. | INTERVENTION: Daily supplementation with oral vitamin K, starting with 100 microg/day
MEASUREMENTS AND MAIN RESULTS: Anticoagulation providers monitored INR responses; all documented INR values were included in the analysis, even those intentionally allowed outside the therapeutic range when dosages were adjusted for procedures.",,2d93cc88154971e64e29ad7ae0b28592f5f55587e0aba7915ba16e5d4660dba3,agent_research_prioritization_only,,false,false,false
REC-PUBMED-16941417,16941417,A1,Dietary vitamin K variability affects International Normalized Ratio (INR) coagulation indices.,tier_2_core_locator_needed,핵심 직접근거 후보이나 공개 원문 위치 확인이 필요합니다.,true,include_candidate_design_unclear,false,,,"ABSTRACT: Dietary vitamin K variability affects International Normalized Ratio (INR) coagulation indices.. | BACKGROUND: Changes in daily vitamin K intake may contribute to marked variations in the International Normalized Ratio (INR) coagulation index in patients receiving oral warfarin anticoagulant therapy, with potentially serious adverse outcomes. | Thus, patients receiving warfarin therapy are routinely counseled regarding this drug-nutrient interaction and are instructed to maintain consistent vitamin K intakes, though little quantitative information about this relationship is available.",,a028f5ae63fcedac0c164510abb8a76037c8b598b2964f1620685b4dcbc7c108,agent_research_prioritization_only,,false,false,false
REC-PUBMED-17110451,17110451,A1,Vitamin K supplementation can improve stability of anticoagulation for patients with unexplained variability in response to warfarin.,tier_2_core_locator_needed,핵심 직접근거 후보이나 공개 원문 위치 확인이 필요합니다.,true,include_candidate,false,,,ABSTRACT: Vitamin K supplementation can improve stability of anticoagulation for patients with unexplained variability in response to warfarin.. | Patients receiving warfarin who have unstable control of anticoagulation have a significantly lower intake of dietary vitamin K compared with their stable counterparts. | We hypothesized that supplementation with oral vitamin K would improve stability in patients with previously unstable control of anticoagulation.,,a0dcefee54af3c771495d331356e183321aad41e157d45476276b37e2081cff7,agent_research_prioritization_only,,false,false,false
REC-PUBMED-17143047,17143047,A1,Dietary vitamin K intake and anticoagulation in elderly patients.,tier_2_core_locator_needed,핵심 직접근거 후보이나 공개 원문 위치 확인이 필요합니다.,true,include_candidate,false,,,"ABSTRACT: Dietary vitamin K intake and anticoagulation in elderly patients.. | Oral anticoagulants competitively inhibit enzymes that participate in vitamin K metabolism. | The purpose of this review is to evaluate the potential interaction of dietary vitamin K and coagulation stability, particularly in the elderly patient.",,1f51870fe34e9b4e19cb5c9c0e8bd9a92dc9accfb588c7fa4f77d58ed1927d10,agent_research_prioritization_only,,false,false,false
REC-PUBMED-17666020,17666020,A1,Daily vitamin K supplementation improves anticoagulant stability.,tier_2_core_locator_needed,핵심 직접근거 후보이나 공개 원문 위치 확인이 필요합니다.,true,include_candidate,false,,,ABSTRACT: Daily vitamin K supplementation improves anticoagulant stability.. | BACKGROUND: One of the causes of unstable anticoagulant control in patients using vitamin K antagonists is a fluctuating intake of vitamin K. | Research suggests that patients with a low dietary intake of vitamin K have a less stable anticoagulant control than patients with a higher intake.,,640601be253a6ab11e8ec168840a1565840b07bc122bda04b59706b5352b4126,agent_research_prioritization_only,,false,false,false
REC-PUBMED-20664899,20664899,A1,Relationship between dietary vitamin K intake and the stability of anticoagulation effect in patients taking long-term warfarin.,tier_2_core_locator_needed,핵심 직접근거 후보이나 공개 원문 위치 확인이 필요합니다.,true,include_candidate_design_unclear,true,126.5 μg/day | 161.3 μg/day | 195.7 μg/day | 31.3 μg/day | 616.6 μg/day,,ABSTRACT: Relationship between dietary vitamin K intake and the stability of anticoagulation effect in patients taking long-term warfarin.. | Little study has been performed on the effect of vitamin K intake on the variability of warfarin's anticoagulant effects over long period of time. | We estimated average vitamin K intake in the patients taking warfarin and evaluated its relation with the stability of anticoagulation effect.,,7ccb044f31a7273b0af9655dd147ead1997cbeb0f744e33d64f54a186739c527,agent_research_prioritization_only,,false,false,false
REC-PUBMED-21914559,21914559,A1,The role of dietary vitamin K in the management of oral vitamin K antagonists.,tier_2_core_locator_needed,핵심 직접근거 후보이나 공개 원문 위치 확인이 필요합니다.,true,include_candidate_design_unclear,false,,,ABSTRACT: The role of dietary vitamin K in the management of oral vitamin K antagonists.. | Vitamin K antagonists (VKA) have been the mainstay of oral anticoagulant therapy for over 60years. | Several studies show that dietary intakes of phylloquinone (vitamin K1) are associated to the sensitivity and stability of anticoagulation during initiation and maintenance dosing with low habitual intakes associated with greater instability of the INR and risk of sub-therapeutic anticoagulation.,,dbbd1433700db63a46be0658b10c0578bb7f50d680e0dd520291c6d528e55b2e,agent_research_prioritization_only,,false,false,false
REC-PUBMED-23744743,23744743,A1,Anticoagulation control with daily low-dose vitamin k to reduce clinically adverse outcomes and international normalized ratio variability: a systematic review and meta-analysis.,tier_2_core_locator_needed,핵심 직접근거 후보이나 공개 원문 위치 확인이 필요합니다.,true,include_candidate,true,100 to 200 μg,,ABSTRACT: Anticoagulation control with daily low-dose vitamin k to reduce clinically adverse outcomes and international normalized ratio variability: a systematic review and meta-analysis.. | STUDY OBJECTIVES: Difficulties managing warfarin therapy have led to speculation that daily supplementation with a low dose of vitamin K might improve anticoagulation control and clinical outcomes. | Thus we sought to review the available medical literature systematically examining the effectiveness of low-dose vitamin K supplementation for the reduction of clinically relevant adverse events due to vitamin K antagonist (VKA) use and for stabilization of the international normalized ratio (INR).,,50df7ad402c9fc19a132a2522777b649ccbb111f3924b88d6d46c60f42f93199,agent_research_prioritization_only,,false,false,false
REC-PUBMED-23953594,23953594,A1,Effect of 200μG/day of vitamin K1 on the variability of anticoagulation control in patients on warfarin: a randomized controlled trial.,tier_2_core_locator_needed,핵심 직접근거 후보이나 공개 원문 위치 확인이 필요합니다.,true,include_candidate,true,200 μg/day,,ABSTRACT: BACKGROUND: Controversy exists whether low-dose vitamin K supplementation can improve anticoagulation control in patients with unstable anticoagulation under warfarin. | METHODS: Effectiveness of Vitamin K1 supplementation was primarily assessed by the percentage (%) of Time-in-Therapeutic-Range (TTR) and secondarily by the standard deviation (SD) of the patient's INR values; the proportion of out-of-range INRs; and the number of dose changes on warfarin. | CONCLUSION: Vitamin K1 supplementation reduces the SD of INRs as an indicator of the variability in anticoagulation control in patients treated with warfarin for VTE.,,c68d2ad27bd57527a17a79f547a837ba076bcf5294ead94c56b2e626742fe35d,agent_research_prioritization_only,,false,false,false
REC-PUBMED-26739542,26739542,A1,Assessment of the Quality of Chronic Anticoagulation Control With Time in Therapeutic Range in Atrial Fibrillation Patients Treated With Vitamin K Antagonists by Hemostasis Specialists: The TERRA Registry: Tiempo en rango en la República Argentina.,tier_2_core_locator_needed,핵심 직접근거 후보이나 공개 원문 위치 확인이 필요합니다.,true,include_candidate,false,,,ABSTRACT: BACKGROUND: Oral anticoagulation therapy with vitamin K antagonists (VKA) such as warfarin and acenocoumarol is recommended in patients with atrial fibrillation (AF) and risk factors for embolism.,,7c76ea30d725a67612610beb3e7ce0de552cacdefaf8643ae2121e01e17053b7,agent_research_prioritization_only,,false,false,false
REC-PUBMED-27232386,27232386,A1,Effect of Vitamin K Intake on the Stability of Treatment with Vitamin K Antagonists: A Systematic Review of the Literature.,tier_2_core_locator_needed,핵심 직접근거 후보이나 공개 원문 위치 확인이 필요합니다.,true,include_candidate,false,,,"ABSTRACT: Effect of Vitamin K Intake on the Stability of Treatment with Vitamin K Antagonists: A Systematic Review of the Literature.. | Recent evidence suggests that poor dietary vitamin K intake may affect anticoagulation control, but the role of vitamin K in INR stability remains to be established. | Observational studies suggest an increased risk of unstable anticoagulation control in patients with lower daily vitamin K intake.",,54cde2e786ebcfd52b7c755a60f833c49bf635196b9f9d0967dd053656d40d1a,agent_research_prioritization_only,,false,false,false
REC-PUBMED-27346552,27346552,A1,The effect of low-dose oral vitamin K supplementation on INR stability in patients receiving warfarin. A randomised trial.,tier_2_core_locator_needed,핵심 직접근거 후보이나 공개 원문 위치 확인이 필요합니다.,true,include_candidate,true,150 mcg,,ABSTRACT: The effect of low-dose oral vitamin K supplementation on INR stability in patients receiving warfarin. | The anticoagulant effect of warfarin is influenced by variations in vitamin K intake. | Concomitant use of daily low-dose oral vitamin K (LDVK) and warfarin may improve INR stability.,,9e3f242d7de4eec761e74a9c8e653fbc250c477d2411a13e1d552237bd9378a0,agent_research_prioritization_only,,false,false,false
REC-PUBMED-31183847,31183847,A1,Subtherapeutic Anticoagulation Control under Treatment with Vitamin K-Antagonists-Data from a Specialized Coagulation Service.,tier_2_core_locator_needed,핵심 직접근거 후보이나 공개 원문 위치 확인이 필요합니다.,true,include_candidate,false,,,"ABSTRACT: In contrast to overanticoagulation, evidence on risk factors and outcome of subtherapeutic oral anticoagulation (OAC) with vitamin K-antagonists (VKAs) under optimum care is limited.",,9423d52648c24b1709a2f8fde6651fbf5e8ce51e1c99c6b6449be3d00c69c9f5,agent_research_prioritization_only,,false,false,false
REC-PUBMED-17415322,17415322,A1,Ingestion of superwarfarin leading to coagulopathy: a case report and review of the literature.,tier_3_public_fulltext_picos,PICOS 직접성과 연구설계 신호가 있으며 공개 원문 위치가 확인됩니다.,false,include_candidate,false,,https://pmc.ncbi.nlm.nih.gov/articles/PMC1868388/,ABSTRACT: Subsequent work-up included the absence of an inhibitor by mixing study and deficiencies of vitamin K-dependent coagulation factors. | The patient is currently doing well with normal coagulation studies after receiving high doses of vitamin K for several weeks.,,49cd4ac375f08b4558f1a90e04f952eb509421f395673a879112f9d624062771,agent_research_prioritization_only,,false,false,false
REC-PUBMED-18634550,18634550,A1,Low-molecular-weight heparins are superior to vitamin K antagonists for the long term treatment of venous thromboembolism in patients with cancer: a cochrane systematic review.,tier_3_public_fulltext_picos,PICOS 직접성과 연구설계 신호가 있으며 공개 원문 위치가 확인됩니다.,false,include_candidate,false,,https://pmc.ncbi.nlm.nih.gov/articles/PMC2507703/,ABSTRACT: The objective of this study was to compare low molecular weight heparin (LMWH) and oral anticoagulants (vitamin K antagonist (VKA) and ximelagatran) for the long term treatment of venous thromboembolism in patients with cancer.,,a2ab11f5e7c86f541e2ae762d984b52e40faaccdf676a67f2a77cf2d12f2c57b,agent_research_prioritization_only,,false,false,false
REC-PUBMED-19503778,19503778,A1,Use of anticoagulants in elderly patients: practical recommendations.,tier_3_public_fulltext_picos,PICOS 직접성과 연구설계 신호가 있으며 공개 원문 위치가 확인됩니다.,false,include_candidate,false,,https://pmc.ncbi.nlm.nih.gov/articles/PMC2685237/,ABSTRACT: For long-term anticoagulation vitamin K antagonists (VKA) are the first choice and only available oral anticoagulants nowadays.,,8ded9480d93871dea1f733d00742f6e27594849fdffb23294115bebc4947adf9,agent_research_prioritization_only,,false,false,false
REC-PUBMED-19690349,19690349,A1,"Oral direct thrombin inhibitor AZD0837 for the prevention of stroke and systemic embolism in patients with non-valvular atrial fibrillation: a randomized dose-guiding, safety, and tolerability study of four doses of AZD0837 vs. vitamin K antagonists.",tier_3_public_fulltext_picos,PICOS 직접성과 연구설계 신호가 있으며 공개 원문 위치가 확인됩니다.,false,include_candidate,false,,https://pmc.ncbi.nlm.nih.gov/articles/PMC2785945/,ABSTRACT: AIMS: Oral anticoagulation with vitamin K antagonists (VKAs) for stroke prevention in atrial fibrillation (AF) is effective but has significant limitations.,,46a32830fcb92c131c4449e7c29d94e952dd450677ece9da19582a989c3de7a8,agent_research_prioritization_only,,false,false,false
REC-PUBMED-19918503,19918503,A1,Assessment of specific risks for the recurrence of deep vein thrombosis: a case report.,tier_3_public_fulltext_picos,PICOS 직접성과 연구설계 신호가 있으며 공개 원문 위치가 확인됩니다.,false,include_candidate,false,,https://pmc.ncbi.nlm.nih.gov/articles/PMC2769333/,"ABSTRACT: It is managed by oral anticoagulation with warfarin sodium (Coumadin), a drug that targets the vitamin K epoxide reductase to prevent the recycling of vitamin K epoxide to the reduced form of vitamin K.",,745e29e90a1234e822dadb1df60fe66d43611b2d41e2c78b4aad729ef55b8075,agent_research_prioritization_only,,false,false,false
REC-PUBMED-20234784,20234784,A1,Modern role for clopidogrel in management of atrial fibrillation and stroke reduction.,tier_3_public_fulltext_picos,PICOS 직접성과 연구설계 신호가 있으며 공개 원문 위치가 확인됩니다.,false,include_candidate,false,,https://pmc.ncbi.nlm.nih.gov/articles/PMC2835559/,"ABSTRACT: Treatment regimens for preventing thromboembolism in AF patients range from vitamin K antagonists such as warfarin or coumadins, antiplatelet drugs like aspirin or clopidogrel, to newly developed orally available antithrombotics like the direct thrombin inhibitor dabigatran, or the Factor Xa-inhibitor rivaroxaban.",,817f7687d25171b7e0b767e159399d554965cdb54b437943829c0a49351761b2,agent_research_prioritization_only,,false,false,false
REC-PUBMED-20657677,20657677,A1,The new oral anticoagulants.,tier_3_public_fulltext_picos,PICOS 직접성과 연구설계 신호가 있으며 공개 원문 위치가 확인됩니다.,false,include_candidate,false,,https://pmc.ncbi.nlm.nih.gov/articles/PMC2881348/,"ABSTRACT: In patients with nonvalvular atrial fibrillation oral anticoagulation with the vitamin K antagonists acenocoumarol, phenprocoumon and warfarin reduces the risk of stroke by more than 60%, whereas single or double antiplatelet therapy is much less effective and sometimes associated with a similar bleeding risk as vitamin K antagonists.",,3cd1301df5b641812f98e7840c44eba4edfd80328452c5b0388ddffaf709ef6e,agent_research_prioritization_only,,false,false,false
REC-PUBMED-20709439,20709439,A1,Warfarin dosing in patients with impaired kidney function.,tier_3_public_fulltext_picos,PICOS 직접성과 연구설계 신호가 있으며 공개 원문 위치가 확인됩니다.,false,include_candidate,false,,https://pmc.ncbi.nlm.nih.gov/articles/PMC2963672/,"ABSTRACT: SETTING & PARTICIPANTS: Long-term warfarin users followed up at anticoagulation clinics (n = 980); 708 participants from the University of Alabama (UAB) and 272 participants from the University of Chicago (UIC). | LIMITATIONS: No measurement of warfarin, serum albumin, vitamin K, and coagulation factors; no evaluation of other markers (eg, cystatin).",,52511b93253d35bc324d56d14dd1bf8a10e9771019a7b7f1519cbb09e189a300,agent_research_prioritization_only,,false,false,false
REC-PUBMED-21678330,21678330,A1,Antithrombotic agents for preventing thrombosis after infrainguinal arterial bypass surgery.,tier_3_public_fulltext_picos,PICOS 직접성과 연구설계 신호가 있으며 공개 원문 위치가 확인됩니다.,false,include_candidate,false,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7047373/,"ABSTRACT: Four trials evaluating vitamin K antagonists (VKA) versus no VKA suggested that oral anticoagulation may favour autologous venous, but not artificial, graft patency as well as limb salvage and survival.",,845a6e7e86741997d93f908f9406bdb63b5ba3e3039adffd5a1f3aa92f367bb2,agent_research_prioritization_only,,false,false,false
REC-PUBMED-22315259,22315259,A1,"Evidence-based management of anticoagulant therapy: Antithrombotic Therapy and Prevention of Thrombosis, 9th ed: American College of Chest Physicians Evidence-Based Clinical Practice Guidelines.",tier_3_public_fulltext_picos,PICOS 직접성과 연구설계 신호가 있으며 공개 원문 위치가 확인됩니다.,false,include_candidate,false,,https://pmc.ncbi.nlm.nih.gov/articles/PMC3278055/,"ABSTRACT: Strong recommendations include targeting an international normalized ratio of 2.0 to 3.0 for patients on vitamin K antagonist therapy (Grade 1B) and not routinely using pharmacogenetic testing for guiding doses of vitamin K antagonist (Grade 1B). | Weak recommendations deal with such issues as loading doses, initiation overlap, monitoring frequency, vitamin K supplementation, patient self-management, weight and renal function adjustment of doses, dosing decision support, drug interactions to avoid, and prevention and management of bleeding complications.",,af094456256dea53deae4a850a99c8304cece7f219cc8f62c62b5c333c5b01c1,agent_research_prioritization_only,,false,false,false
REC-PUBMED-22315265,22315265,A1,"Prevention of VTE in orthopedic surgery patients: Antithrombotic Therapy and Prevention of Thrombosis, 9th ed: American College of Chest Physicians Evidence-Based Clinical Practice Guidelines.",tier_3_public_fulltext_picos,PICOS 직접성과 연구설계 신호가 있으며 공개 원문 위치가 확인됩니다.,false,include_candidate,false,,https://pmc.ncbi.nlm.nih.gov/articles/PMC3278063/,"ABSTRACT: RESULTS: In patients undergoing major orthopedic surgery, we recommend the use of one of the following rather than no antithrombotic prophylaxis: low-molecular-weight heparin; fondaparinux; dabigatran, apixaban, rivaroxaban (total hip arthroplasty or total knee arthroplasty but not hip fracture surgery); low-dose unfractionated heparin; adjusted-dose vitamin K antagonist; aspirin (all Grade 1B); or an intermittent pneumatic compression device (IPCD) (Grade 1C) for a minimum of 10 to 14 days.",,81ca37924c55d4f9a137dbbf9e46324cfcad60b3a42e8f5f1395ab3d84d89b14,agent_research_prioritization_only,,false,false,false
REC-PUBMED-22315271,22315271,A1,"Antithrombotic therapy for atrial fibrillation: Antithrombotic Therapy and Prevention of Thrombosis, 9th ed: American College of Chest Physicians Evidence-Based Clinical Practice Guidelines.",tier_3_public_fulltext_picos,PICOS 직접성과 연구설계 신호가 있으며 공개 원문 위치가 확인됩니다.,false,include_candidate,true,150 mg,https://pmc.ncbi.nlm.nih.gov/articles/PMC3278056/,"ABSTRACT: Where we recommend or suggest in favor of oral anticoagulation, we suggest dabigatran 150 mg bid rather than adjusted-dose vitamin K antagonist therapy.",,18159472ee54a7a51a1243f47d67b35c715af0bb3d851a854ec5b80b687364a1,agent_research_prioritization_only,,false,false,false
REC-PUBMED-22491734,22491734,A1,"An observational, prospective, two-cohort comparison of a fixed versus variable dosing strategy of prothrombin complex concentrate to counteract vitamin K antagonists in 240 bleeding emergencies.",tier_3_public_fulltext_picos,PICOS 직접성과 연구설계 신호가 있으며 공개 원문 위치가 확인됩니다.,false,include_candidate,true,"1,040 IU",https://pmc.ncbi.nlm.nih.gov/articles/PMC3487550/,"ABSTRACT: In this observational prospective two-cohort study, we aimed to assess the non-inferiority of a low fixed PCC dose (1,040 IU Factor IX) compared to the registered variable dosing regimen based on baseline International Normalized Rate, bodyweight, and target International Normalized Rate, to counteract vitamin K antagonists in a bleeding emergency in a daily clinical practice setting.",,7736df6ad95f0ebb1d897f20c9d3200c2d7bf33a679e6fda7bd3b00ee42fb654,agent_research_prioritization_only,,false,false,false
REC-PUBMED-22783307,22783307,A1,"The risk of bleeding of triple therapy with vitamin K-antagonists, aspirin and clopidogrel after coronary stent implantation: Facts and questions.",tier_3_public_fulltext_picos,PICOS 직접성과 연구설계 신호가 있으며 공개 원문 위치가 확인됩니다.,false,include_candidate,false,,https://pmc.ncbi.nlm.nih.gov/articles/PMC3390087/,"ABSTRACT: BACKGROUND: Triple therapy (TT) with vitamin K-antagonists (VKA), aspirin and clopidogrel is the recommended antithrombotic treatment following percutaneous coronary intervention with stent implantation (PCI-S) in patients with an indication for oral anticoagulation.",,2404ce322b4a89a071e0086520d9ca98e941431d38608892a599814d9ad9341b,agent_research_prioritization_only,,false,false,false
